ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:47:38.742Z hisSize:56483 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:100 his minVal:0 humidity id:@p:linkEdge:r:2d997a3d-1687e50e "Site B Room 4 Living AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"%RH" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:38%RH disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:humidity"
2025-01-01T14:30:00+02:00 Bucharest,36.5%RH
2025-01-01T14:45:00+02:00 Bucharest,36.5%RH
2025-01-01T14:48:26+02:00 Bucharest,37%RH
2025-01-01T15:00:00+02:00 Bucharest,37%RH
2025-01-01T15:15:00+02:00 Bucharest,37%RH
2025-01-01T15:28:25+02:00 Bucharest,33.5%RH
2025-01-01T15:30:00+02:00 Bucharest,33.5%RH
2025-01-01T15:38:25+02:00 Bucharest,34%RH
2025-01-01T15:45:00+02:00 Bucharest,34%RH
2025-01-01T15:58:25+02:00 Bucharest,38%RH
2025-01-01T16:00:00+02:00 Bucharest,38%RH
2025-01-01T16:15:00+02:00 Bucharest,38%RH
2025-01-01T16:28:24+02:00 Bucharest,37%RH
2025-01-01T16:30:00+02:00 Bucharest,37%RH
2025-01-01T16:45:00+02:00 Bucharest,37%RH
2025-01-01T17:00:00+02:00 Bucharest,37%RH
2025-01-01T17:15:00+02:00 Bucharest,37%RH
2025-01-01T17:18:23+02:00 Bucharest,36.5%RH
2025-01-01T17:30:00+02:00 Bucharest,36.5%RH
2025-01-01T17:45:00+02:00 Bucharest,36.5%RH
2025-01-01T18:00:00+02:00 Bucharest,36.5%RH
2025-01-01T18:15:00+02:00 Bucharest,36.5%RH
2025-01-01T18:28:22+02:00 Bucharest,36%RH
2025-01-01T18:30:00+02:00 Bucharest,36%RH
2025-01-01T18:45:00+02:00 Bucharest,36%RH
2025-01-01T18:58:22+02:00 Bucharest,36.5%RH
2025-01-01T19:00:00+02:00 Bucharest,36.5%RH
2025-01-01T19:15:00+02:00 Bucharest,36.5%RH
2025-01-01T19:30:00+02:00 Bucharest,36.5%RH
2025-01-01T19:45:00+02:00 Bucharest,36.5%RH
2025-01-01T20:00:00+02:00 Bucharest,36.5%RH
2025-01-01T20:15:00+02:00 Bucharest,36.5%RH
2025-01-01T20:30:00+02:00 Bucharest,36.5%RH
2025-01-01T20:45:00+02:00 Bucharest,36.5%RH
2025-01-01T21:00:00+02:00 Bucharest,36.5%RH
2025-01-01T21:15:00+02:00 Bucharest,36.5%RH
2025-01-01T21:30:00+02:00 Bucharest,36.5%RH
2025-01-01T21:45:00+02:00 Bucharest,36.5%RH
2025-01-01T22:00:00+02:00 Bucharest,36.5%RH
2025-01-01T22:15:00+02:00 Bucharest,36.5%RH
2025-01-01T22:30:00+02:00 Bucharest,36.5%RH
2025-01-01T22:38:18+02:00 Bucharest,36%RH
2025-01-01T22:45:00+02:00 Bucharest,36%RH
2025-01-01T22:48:18+02:00 Bucharest,36.5%RH
2025-01-01T23:00:00+02:00 Bucharest,36.5%RH
2025-01-01T23:15:00+02:00 Bucharest,36.5%RH
2025-01-01T23:18:17+02:00 Bucharest,36%RH
2025-01-01T23:30:00+02:00 Bucharest,36%RH
2025-01-01T23:45:00+02:00 Bucharest,36%RH
2025-01-02T00:00:00+02:00 Bucharest,36%RH
2025-01-02T00:15:00+02:00 Bucharest,36%RH
2025-01-02T00:30:00+02:00 Bucharest,36%RH
2025-01-02T00:38:16+02:00 Bucharest,35.5%RH
2025-01-02T00:45:00+02:00 Bucharest,35.5%RH
2025-01-02T01:00:00+02:00 Bucharest,35.5%RH
2025-01-02T01:15:00+02:00 Bucharest,35.5%RH
2025-01-02T01:18:15+02:00 Bucharest,36%RH
2025-01-02T01:30:00+02:00 Bucharest,36%RH
2025-01-02T01:45:00+02:00 Bucharest,36%RH
2025-01-02T01:48:14+02:00 Bucharest,35.5%RH
2025-01-02T02:00:00+02:00 Bucharest,35.5%RH
2025-01-02T02:08:14+02:00 Bucharest,35%RH
2025-01-02T02:15:00+02:00 Bucharest,35%RH
2025-01-02T02:30:00+02:00 Bucharest,35%RH
2025-01-02T02:45:00+02:00 Bucharest,35%RH
2025-01-02T03:00:00+02:00 Bucharest,35%RH
2025-01-02T03:15:00+02:00 Bucharest,35%RH
2025-01-02T03:30:00+02:00 Bucharest,35%RH
2025-01-02T03:38:14+02:00 Bucharest,35.5%RH
2025-01-02T03:45:00+02:00 Bucharest,35.5%RH
2025-01-02T03:48:12+02:00 Bucharest,35%RH
2025-01-02T03:58:12+02:00 Bucharest,35.5%RH
2025-01-02T04:00:00+02:00 Bucharest,35.5%RH
2025-01-02T04:15:00+02:00 Bucharest,35.5%RH
2025-01-02T04:30:00+02:00 Bucharest,35.5%RH
2025-01-02T04:45:00+02:00 Bucharest,35.5%RH
2025-01-02T05:00:00+02:00 Bucharest,35.5%RH
2025-01-02T05:15:00+02:00 Bucharest,35.5%RH
2025-01-02T05:18:11+02:00 Bucharest,35%RH
2025-01-02T05:30:00+02:00 Bucharest,35%RH
2025-01-02T05:45:00+02:00 Bucharest,35%RH
2025-01-02T06:00:00+02:00 Bucharest,35%RH
2025-01-02T06:15:00+02:00 Bucharest,35%RH
2025-01-02T06:30:00+02:00 Bucharest,35%RH
2025-01-02T06:45:00+02:00 Bucharest,35%RH
2025-01-02T07:00:00+02:00 Bucharest,35%RH
2025-01-02T07:08:09+02:00 Bucharest,34%RH
2025-01-02T07:15:00+02:00 Bucharest,34%RH
2025-01-02T07:30:00+02:00 Bucharest,34%RH
2025-01-02T07:45:00+02:00 Bucharest,34%RH
2025-01-02T08:00:00+02:00 Bucharest,34%RH
2025-01-02T08:15:00+02:00 Bucharest,34%RH
2025-01-02T08:30:00+02:00 Bucharest,34%RH
2025-01-02T08:45:00+02:00 Bucharest,34%RH
2025-01-02T09:00:00+02:00 Bucharest,34%RH
2025-01-02T09:15:00+02:00 Bucharest,34%RH
2025-01-02T09:30:00+02:00 Bucharest,34%RH
2025-01-02T09:45:00+02:00 Bucharest,34%RH
2025-01-02T10:00:00+02:00 Bucharest,34%RH
2025-01-02T10:08:06+02:00 Bucharest,34.5%RH
2025-01-02T10:15:00+02:00 Bucharest,34.5%RH
2025-01-02T10:30:00+02:00 Bucharest,34.5%RH
2025-01-02T10:45:00+02:00 Bucharest,34.5%RH
2025-01-02T10:58:05+02:00 Bucharest,35%RH
2025-01-02T11:00:00+02:00 Bucharest,35%RH
2025-01-02T11:15:00+02:00 Bucharest,35%RH
2025-01-02T11:30:00+02:00 Bucharest,35%RH
2025-01-02T11:45:00+02:00 Bucharest,35%RH
2025-01-02T12:00:00+02:00 Bucharest,35%RH
2025-01-02T12:15:00+02:00 Bucharest,35%RH
2025-01-02T12:30:00+02:00 Bucharest,35%RH
2025-01-02T12:45:00+02:00 Bucharest,35%RH
2025-01-02T13:00:00+02:00 Bucharest,35%RH
2025-01-02T13:15:00+02:00 Bucharest,35%RH
2025-01-02T13:30:00+02:00 Bucharest,35%RH
2025-01-02T13:38:02+02:00 Bucharest,34.5%RH
2025-01-02T13:45:00+02:00 Bucharest,34.5%RH
2025-01-02T14:00:00+02:00 Bucharest,34.5%RH
2025-01-02T14:15:00+02:00 Bucharest,34.5%RH
2025-01-02T14:30:00+02:00 Bucharest,34.5%RH
2025-01-02T14:45:00+02:00 Bucharest,34.5%RH
2025-01-02T14:58:01+02:00 Bucharest,35.5%RH
2025-01-02T15:00:00+02:00 Bucharest,35.5%RH
2025-01-02T15:15:00+02:00 Bucharest,35.5%RH
2025-01-02T15:18:00+02:00 Bucharest,36%RH
2025-01-02T15:30:00+02:00 Bucharest,36%RH
2025-01-02T15:45:00+02:00 Bucharest,36%RH
2025-01-02T16:00:00+02:00 Bucharest,36%RH
2025-01-02T16:15:00+02:00 Bucharest,36%RH
2025-01-02T16:17:59+02:00 Bucharest,36.5%RH
2025-01-02T16:30:00+02:00 Bucharest,36.5%RH
2025-01-02T16:45:00+02:00 Bucharest,36.5%RH
2025-01-02T17:00:00+02:00 Bucharest,36.5%RH
2025-01-02T17:15:00+02:00 Bucharest,36.5%RH
2025-01-02T17:27:58+02:00 Bucharest,37%RH
2025-01-02T17:30:00+02:00 Bucharest,37%RH
2025-01-02T17:45:00+02:00 Bucharest,37%RH
2025-01-02T18:00:00+02:00 Bucharest,37%RH
2025-01-02T18:15:00+02:00 Bucharest,37%RH
2025-01-02T18:30:00+02:00 Bucharest,37%RH
2025-01-02T18:45:00+02:00 Bucharest,37%RH
2025-01-02T19:00:00+02:00 Bucharest,37%RH
2025-01-02T19:15:00+02:00 Bucharest,37%RH
2025-01-02T19:30:00+02:00 Bucharest,37%RH
2025-01-02T19:45:00+02:00 Bucharest,37%RH
2025-01-02T19:57:55+02:00 Bucharest,37.5%RH
2025-01-02T20:00:00+02:00 Bucharest,37.5%RH
2025-01-02T20:15:00+02:00 Bucharest,37.5%RH
2025-01-02T20:30:00+02:00 Bucharest,37.5%RH
2025-01-02T20:45:00+02:00 Bucharest,37.5%RH
2025-01-02T21:00:00+02:00 Bucharest,37.5%RH
2025-01-02T21:15:00+02:00 Bucharest,37.5%RH
2025-01-02T21:30:00+02:00 Bucharest,37.5%RH
2025-01-02T21:45:00+02:00 Bucharest,37.5%RH
2025-01-02T22:00:00+02:00 Bucharest,37.5%RH
2025-01-02T22:15:00+02:00 Bucharest,37.5%RH
2025-01-02T22:17:53+02:00 Bucharest,37%RH
2025-01-02T22:30:00+02:00 Bucharest,37%RH
2025-01-02T22:45:00+02:00 Bucharest,37%RH
2025-01-02T22:47:53+02:00 Bucharest,37.5%RH
2025-01-02T22:57:52+02:00 Bucharest,37%RH
2025-01-02T23:00:00+02:00 Bucharest,37%RH
2025-01-02T23:15:00+02:00 Bucharest,37%RH
2025-01-02T23:17:52+02:00 Bucharest,37.5%RH
2025-01-02T23:27:52+02:00 Bucharest,37%RH
2025-01-02T23:30:00+02:00 Bucharest,37%RH
2025-01-02T23:45:00+02:00 Bucharest,37%RH
2025-01-03T00:00:00+02:00 Bucharest,37%RH
2025-01-03T00:15:00+02:00 Bucharest,37%RH
2025-01-03T00:30:00+02:00 Bucharest,37%RH
2025-01-03T00:45:00+02:00 Bucharest,37%RH
2025-01-03T01:00:00+02:00 Bucharest,37%RH
2025-01-03T01:15:00+02:00 Bucharest,37%RH
