ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-15T07:43:31.149Z hisSize:52740 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint his id:@p:linkEdge:r:2d9972a1-28df3602 "Site B Room 1 Office AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:48:15+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" amSensorAM319ModelId:"_amSensorAM319_point:temperature" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:26.5°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-01T20:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T21:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T22:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-01T22:06:45+02:00 Bucharest,24°C
2025-01-01T22:15:00+02:00 Bucharest,24°C
2025-01-01T22:30:00+02:00 Bucharest,24°C
2025-01-01T22:45:00+02:00 Bucharest,24°C
2025-01-01T23:00:00+02:00 Bucharest,24°C
2025-01-01T23:15:00+02:00 Bucharest,24°C
2025-01-01T23:26:45+02:00 Bucharest,23.899999618530273°C
2025-01-01T23:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-01T23:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T00:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T00:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T00:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T01:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T01:06:45+02:00 Bucharest,23.700000762939453°C
2025-01-02T01:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T01:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T01:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T02:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T02:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T02:26:45+02:00 Bucharest,23.5°C
2025-01-02T02:30:00+02:00 Bucharest,23.5°C
2025-01-02T02:45:00+02:00 Bucharest,23.5°C
2025-01-02T02:56:45+02:00 Bucharest,23.399999618530273°C
2025-01-02T03:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T03:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T03:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T03:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T04:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-02T04:06:45+02:00 Bucharest,23.200000762939453°C
2025-01-02T04:15:00+02:00 Bucharest,23.200000762939453°C
2025-01-02T04:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T04:45:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T05:00:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T05:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T05:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-02T05:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-02T06:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-02T06:01:45+02:00 Bucharest,23.299999237060547°C
2025-01-02T06:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T06:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T06:41:45+02:00 Bucharest,23.5°C
2025-01-02T06:45:00+02:00 Bucharest,23.5°C
2025-01-02T06:56:45+02:00 Bucharest,23.600000381469727°C
2025-01-02T07:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T07:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T07:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T07:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T08:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T08:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T08:21:45+02:00 Bucharest,23.5°C
2025-01-02T08:30:00+02:00 Bucharest,23.5°C
2025-01-02T08:45:00+02:00 Bucharest,23.5°C
2025-01-02T09:00:00+02:00 Bucharest,23.5°C
2025-01-02T09:15:00+02:00 Bucharest,23.5°C
2025-01-02T09:30:00+02:00 Bucharest,23.5°C
2025-01-02T09:45:00+02:00 Bucharest,23.5°C
2025-01-02T10:00:00+02:00 Bucharest,23.5°C
2025-01-02T10:15:00+02:00 Bucharest,23.5°C
2025-01-02T10:30:00+02:00 Bucharest,23.5°C
2025-01-02T10:45:00+02:00 Bucharest,23.5°C
2025-01-02T11:00:00+02:00 Bucharest,23.5°C
2025-01-02T11:15:00+02:00 Bucharest,23.5°C
2025-01-02T11:30:00+02:00 Bucharest,23.5°C
2025-01-02T11:45:00+02:00 Bucharest,23.5°C
2025-01-02T12:00:00+02:00 Bucharest,23.5°C
2025-01-02T12:01:45+02:00 Bucharest,23.600000381469727°C
2025-01-02T12:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T12:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T12:36:45+02:00 Bucharest,23.899999618530273°C
2025-01-02T12:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T12:46:45+02:00 Bucharest,24°C
2025-01-02T13:00:00+02:00 Bucharest,24°C
2025-01-02T13:06:45+02:00 Bucharest,24.100000381469727°C
2025-01-02T13:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T13:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T13:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T14:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T14:06:45+02:00 Bucharest,24.299999237060547°C
2025-01-02T14:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T14:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-02T14:41:45+02:00 Bucharest,24.200000762939453°C
2025-01-02T14:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T14:46:45+02:00 Bucharest,24.299999237060547°C
2025-01-02T14:56:45+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T15:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T16:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T16:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T16:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T16:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T17:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T17:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T17:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T17:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T18:00:00+02:00 Bucharest,24.100000381469727°C
