ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:43:06.716Z hisSize:85916 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1694ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-02560fee "Site B Room 3 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:55:19+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T15:15:00+02:00 Bucharest,925ppm
2025-01-01T15:19:48+02:00 Bucharest,916ppm
2025-01-01T15:29:49+02:00 Bucharest,909ppm
2025-01-01T15:30:00+02:00 Bucharest,909ppm
2025-01-01T15:39:49+02:00 Bucharest,894ppm
2025-01-01T15:45:00+02:00 Bucharest,894ppm
2025-01-01T15:59:49+02:00 Bucharest,849ppm
2025-01-01T16:00:00+02:00 Bucharest,849ppm
2025-01-01T16:09:49+02:00 Bucharest,844ppm
2025-01-01T16:15:00+02:00 Bucharest,844ppm
2025-01-01T16:19:48+02:00 Bucharest,815ppm
2025-01-01T16:29:48+02:00 Bucharest,792ppm
2025-01-01T16:30:00+02:00 Bucharest,792ppm
2025-01-01T16:45:00+02:00 Bucharest,792ppm
2025-01-01T17:00:00+02:00 Bucharest,792ppm
2025-01-01T17:15:00+02:00 Bucharest,792ppm
2025-01-01T17:19:49+02:00 Bucharest,733ppm
2025-01-01T17:30:00+02:00 Bucharest,733ppm
2025-01-01T17:45:00+02:00 Bucharest,733ppm
2025-01-01T17:49:49+02:00 Bucharest,720ppm
2025-01-01T18:00:00+02:00 Bucharest,720ppm
2025-01-01T18:09:48+02:00 Bucharest,709ppm
2025-01-01T18:15:00+02:00 Bucharest,709ppm
2025-01-01T18:30:00+02:00 Bucharest,709ppm
2025-01-01T18:45:00+02:00 Bucharest,709ppm
2025-01-01T18:49:49+02:00 Bucharest,702ppm
2025-01-01T19:00:00+02:00 Bucharest,702ppm
2025-01-01T19:15:00+02:00 Bucharest,702ppm
2025-01-01T19:19:48+02:00 Bucharest,722ppm
2025-01-01T19:29:49+02:00 Bucharest,724ppm
2025-01-01T19:30:00+02:00 Bucharest,724ppm
2025-01-01T19:39:49+02:00 Bucharest,726ppm
2025-01-01T19:45:00+02:00 Bucharest,726ppm
2025-01-01T20:00:00+02:00 Bucharest,726ppm
2025-01-01T20:09:49+02:00 Bucharest,739ppm
2025-01-01T20:15:00+02:00 Bucharest,739ppm
2025-01-01T20:30:00+02:00 Bucharest,739ppm
2025-01-01T20:45:00+02:00 Bucharest,739ppm
2025-01-01T20:49:48+02:00 Bucharest,766ppm
2025-01-01T20:59:48+02:00 Bucharest,776ppm
2025-01-01T21:00:00+02:00 Bucharest,776ppm
2025-01-01T21:09:49+02:00 Bucharest,786ppm
2025-01-01T21:15:00+02:00 Bucharest,786ppm
2025-01-01T21:30:00+02:00 Bucharest,786ppm
2025-01-01T21:39:49+02:00 Bucharest,798ppm
2025-01-01T21:45:00+02:00 Bucharest,798ppm
2025-01-01T22:00:00+02:00 Bucharest,798ppm
2025-01-01T22:09:48+02:00 Bucharest,821ppm
2025-01-01T22:15:00+02:00 Bucharest,821ppm
2025-01-01T22:30:00+02:00 Bucharest,821ppm
2025-01-01T22:45:00+02:00 Bucharest,821ppm
2025-01-01T22:49:49+02:00 Bucharest,840ppm
2025-01-01T23:00:00+02:00 Bucharest,840ppm
2025-01-01T23:09:48+02:00 Bucharest,844ppm
2025-01-01T23:15:00+02:00 Bucharest,844ppm
2025-01-01T23:30:00+02:00 Bucharest,844ppm
2025-01-01T23:39:49+02:00 Bucharest,845ppm
2025-01-01T23:45:00+02:00 Bucharest,845ppm
2025-01-01T23:59:49+02:00 Bucharest,855ppm
2025-01-02T00:00:00+02:00 Bucharest,855ppm
2025-01-02T00:15:00+02:00 Bucharest,855ppm
2025-01-02T00:30:00+02:00 Bucharest,855ppm
2025-01-02T00:39:49+02:00 Bucharest,864ppm
2025-01-02T00:45:00+02:00 Bucharest,864ppm
2025-01-02T00:59:49+02:00 Bucharest,868ppm
2025-01-02T01:00:00+02:00 Bucharest,868ppm
2025-01-02T01:15:00+02:00 Bucharest,868ppm
2025-01-02T01:19:49+02:00 Bucharest,873ppm
2025-01-02T01:30:00+02:00 Bucharest,873ppm
2025-01-02T01:45:00+02:00 Bucharest,873ppm
2025-01-02T01:59:48+02:00 Bucharest,933ppm
2025-01-02T02:00:00+02:00 Bucharest,933ppm
2025-01-02T02:09:49+02:00 Bucharest,1106ppm
2025-01-02T02:15:00+02:00 Bucharest,1106ppm
2025-01-02T02:29:49+02:00 Bucharest,1270ppm
2025-01-02T02:30:00+02:00 Bucharest,1270ppm
2025-01-02T02:45:00+02:00 Bucharest,1270ppm
2025-01-02T02:59:49+02:00 Bucharest,1381ppm
2025-01-02T03:00:00+02:00 Bucharest,1381ppm
2025-01-02T03:09:48+02:00 Bucharest,1384ppm
2025-01-02T03:15:00+02:00 Bucharest,1384ppm
2025-01-02T03:30:00+02:00 Bucharest,1384ppm
2025-01-02T03:39:49+02:00 Bucharest,1525ppm
2025-01-02T03:45:00+02:00 Bucharest,1525ppm
2025-01-02T03:59:49+02:00 Bucharest,1608ppm
2025-01-02T04:00:00+02:00 Bucharest,1608ppm
2025-01-02T04:09:49+02:00 Bucharest,1645ppm
2025-01-02T04:15:00+02:00 Bucharest,1645ppm
2025-01-02T04:30:00+02:00 Bucharest,1645ppm
2025-01-02T04:31:00+02:00 Bucharest,1667ppm
2025-01-02T04:40:01+02:00 Bucharest,1662ppm
2025-01-02T04:45:00+02:00 Bucharest,1662ppm
2025-01-02T05:00:00+02:00 Bucharest,1662ppm
2025-01-02T05:09:49+02:00 Bucharest,1660ppm
2025-01-02T05:15:00+02:00 Bucharest,1660ppm
2025-01-02T05:19:49+02:00 Bucharest,1647ppm
2025-01-02T05:30:00+02:00 Bucharest,1647ppm
2025-01-02T05:40:01+02:00 Bucharest,1699ppm
2025-01-02T05:45:00+02:00 Bucharest,1699ppm
2025-01-02T06:00:00+02:00 Bucharest,1699ppm
