ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:41:04.003Z hisSize:78933 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his curVal:116ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-4616b60a "Site B Room 2 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-01T18:00:00+02:00 Bucharest,125ppb
2025-01-01T18:15:00+02:00 Bucharest,125ppb
2025-01-01T18:30:00+02:00 Bucharest,125ppb
2025-01-01T18:45:00+02:00 Bucharest,125ppb
2025-01-01T18:51:18+02:00 Bucharest,122ppb
2025-01-01T19:00:00+02:00 Bucharest,122ppb
2025-01-01T19:15:00+02:00 Bucharest,122ppb
2025-01-01T19:30:00+02:00 Bucharest,122ppb
2025-01-01T19:41:17+02:00 Bucharest,121ppb
2025-01-01T19:45:00+02:00 Bucharest,121ppb
2025-01-01T20:00:00+02:00 Bucharest,121ppb
2025-01-01T20:11:17+02:00 Bucharest,117ppb
2025-01-01T20:15:00+02:00 Bucharest,117ppb
2025-01-01T20:30:00+02:00 Bucharest,117ppb
2025-01-01T20:45:00+02:00 Bucharest,117ppb
2025-01-01T20:51:17+02:00 Bucharest,107ppb
2025-01-01T21:00:00+02:00 Bucharest,107ppb
2025-01-01T21:01:18+02:00 Bucharest,105ppb
2025-01-01T21:11:18+02:00 Bucharest,104ppb
2025-01-01T21:15:00+02:00 Bucharest,104ppb
2025-01-01T21:30:00+02:00 Bucharest,104ppb
2025-01-01T21:45:00+02:00 Bucharest,104ppb
2025-01-01T22:00:00+02:00 Bucharest,104ppb
2025-01-01T22:15:00+02:00 Bucharest,104ppb
2025-01-01T22:30:00+02:00 Bucharest,104ppb
2025-01-01T22:45:00+02:00 Bucharest,104ppb
2025-01-01T22:51:18+02:00 Bucharest,108ppb
2025-01-01T23:00:00+02:00 Bucharest,108ppb
2025-01-01T23:15:00+02:00 Bucharest,108ppb
2025-01-01T23:30:00+02:00 Bucharest,108ppb
2025-01-01T23:45:00+02:00 Bucharest,108ppb
2025-01-02T00:00:00+02:00 Bucharest,108ppb
2025-01-02T00:15:00+02:00 Bucharest,108ppb
2025-01-02T00:30:00+02:00 Bucharest,108ppb
2025-01-02T00:45:00+02:00 Bucharest,108ppb
2025-01-02T00:51:17+02:00 Bucharest,92ppb
2025-01-02T01:00:00+02:00 Bucharest,92ppb
2025-01-02T01:11:27+02:00 Bucharest,89ppb
2025-01-02T01:15:00+02:00 Bucharest,89ppb
2025-01-02T01:30:00+02:00 Bucharest,89ppb
2025-01-02T01:41:27+02:00 Bucharest,88ppb
2025-01-02T01:45:00+02:00 Bucharest,88ppb
2025-01-02T02:00:00+02:00 Bucharest,88ppb
2025-01-02T02:01:17+02:00 Bucharest,89ppb
2025-01-02T02:11:18+02:00 Bucharest,91ppb
2025-01-02T02:15:00+02:00 Bucharest,91ppb
2025-01-02T02:30:00+02:00 Bucharest,91ppb
2025-01-02T02:31:17+02:00 Bucharest,93ppb
2025-01-02T02:41:27+02:00 Bucharest,95ppb
2025-01-02T02:45:00+02:00 Bucharest,95ppb
2025-01-02T03:00:00+02:00 Bucharest,95ppb
2025-01-02T03:01:27+02:00 Bucharest,97ppb
2025-01-02T03:11:17+02:00 Bucharest,96ppb
2025-01-02T03:15:00+02:00 Bucharest,96ppb
2025-01-02T03:30:00+02:00 Bucharest,96ppb
2025-01-02T03:41:17+02:00 Bucharest,91ppb
2025-01-02T03:45:00+02:00 Bucharest,91ppb
2025-01-02T04:00:00+02:00 Bucharest,91ppb
2025-01-02T04:15:00+02:00 Bucharest,91ppb
2025-01-02T04:21:27+02:00 Bucharest,85ppb
2025-01-02T04:30:00+02:00 Bucharest,85ppb
2025-01-02T04:31:18+02:00 Bucharest,82ppb
2025-01-02T04:41:17+02:00 Bucharest,81ppb
2025-01-02T04:45:00+02:00 Bucharest,81ppb
2025-01-02T05:00:00+02:00 Bucharest,81ppb
2025-01-02T05:01:18+02:00 Bucharest,77ppb
2025-01-02T05:11:17+02:00 Bucharest,75ppb
