ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" mod:2024-04-12T14:40:32.921Z hisSize:85654 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b8c-aab4b9e7 "Site B Room 2nca" co2 lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:co2" point his curVal:1272ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9aaf5a-8fb5e82f "2 AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9aaf5a-6e83ede1 "Site B Room 2 AQ" id:@p:linkEdge:r:2d9aaf5a-34eee513 "Site B Room 2 AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:47:48+02:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" unit:"ppm" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-02T13:01:17+02:00 Bucharest,672ppm
2025-01-02T13:11:17+02:00 Bucharest,667ppm
2025-01-02T13:15:00+02:00 Bucharest,667ppm
2025-01-02T13:21:18+02:00 Bucharest,662ppm
2025-01-02T13:30:00+02:00 Bucharest,662ppm
2025-01-02T13:45:00+02:00 Bucharest,662ppm
2025-01-02T13:51:17+02:00 Bucharest,657ppm
2025-01-02T14:00:00+02:00 Bucharest,657ppm
2025-01-02T14:15:00+02:00 Bucharest,657ppm
2025-01-02T14:30:00+02:00 Bucharest,657ppm
2025-01-02T14:41:18+02:00 Bucharest,636ppm
2025-01-02T14:45:00+02:00 Bucharest,636ppm
2025-01-02T15:00:00+02:00 Bucharest,636ppm
2025-01-02T15:01:17+02:00 Bucharest,628ppm
2025-01-02T15:11:18+02:00 Bucharest,640ppm
2025-01-02T15:15:00+02:00 Bucharest,640ppm
2025-01-02T15:21:17+02:00 Bucharest,663ppm
2025-01-02T15:30:00+02:00 Bucharest,663ppm
2025-01-02T15:31:17+02:00 Bucharest,677ppm
2025-01-02T15:41:18+02:00 Bucharest,690ppm
2025-01-02T15:45:00+02:00 Bucharest,690ppm
2025-01-02T15:51:17+02:00 Bucharest,706ppm
2025-01-02T16:00:00+02:00 Bucharest,706ppm
2025-01-02T16:01:17+02:00 Bucharest,715ppm
2025-01-02T16:15:00+02:00 Bucharest,715ppm
2025-01-02T16:21:18+02:00 Bucharest,733ppm
2025-01-02T16:30:00+02:00 Bucharest,733ppm
2025-01-02T16:45:00+02:00 Bucharest,733ppm
2025-01-02T17:00:00+02:00 Bucharest,733ppm
2025-01-02T17:01:17+02:00 Bucharest,801ppm
2025-01-02T17:15:00+02:00 Bucharest,801ppm
2025-01-02T17:21:18+02:00 Bucharest,809ppm
2025-01-02T17:30:00+02:00 Bucharest,809ppm
2025-01-02T17:31:17+02:00 Bucharest,808ppm
2025-01-02T17:45:00+02:00 Bucharest,808ppm
2025-01-02T17:51:17+02:00 Bucharest,814ppm
2025-01-02T18:00:00+02:00 Bucharest,814ppm
2025-01-02T18:11:17+02:00 Bucharest,820ppm
2025-01-02T18:15:00+02:00 Bucharest,820ppm
2025-01-02T18:30:00+02:00 Bucharest,820ppm
2025-01-02T18:41:17+02:00 Bucharest,824ppm
2025-01-02T18:45:00+02:00 Bucharest,824ppm
2025-01-02T19:00:00+02:00 Bucharest,824ppm
2025-01-02T19:01:18+02:00 Bucharest,829ppm
2025-01-02T19:11:18+02:00 Bucharest,839ppm
2025-01-02T19:15:00+02:00 Bucharest,839ppm
2025-01-02T19:30:00+02:00 Bucharest,839ppm
2025-01-02T19:45:00+02:00 Bucharest,839ppm
2025-01-02T19:51:17+02:00 Bucharest,834ppm
2025-01-02T20:00:00+02:00 Bucharest,834ppm
2025-01-02T20:15:00+02:00 Bucharest,834ppm
2025-01-02T20:21:17+02:00 Bucharest,841ppm
2025-01-02T20:30:00+02:00 Bucharest,841ppm
2025-01-02T20:41:17+02:00 Bucharest,849ppm
2025-01-02T20:45:00+02:00 Bucharest,849ppm
2025-01-02T20:51:18+02:00 Bucharest,859ppm
2025-01-02T21:00:00+02:00 Bucharest,859ppm
2025-01-02T21:01:17+02:00 Bucharest,861ppm
2025-01-02T21:15:00+02:00 Bucharest,861ppm
2025-01-02T21:30:00+02:00 Bucharest,861ppm
2025-01-02T21:41:17+02:00 Bucharest,879ppm
2025-01-02T21:45:00+02:00 Bucharest,879ppm
2025-01-02T22:00:00+02:00 Bucharest,879ppm
2025-01-02T22:01:18+02:00 Bucharest,881ppm
2025-01-02T22:11:17+02:00 Bucharest,891ppm
2025-01-02T22:15:00+02:00 Bucharest,891ppm
2025-01-02T22:30:00+02:00 Bucharest,891ppm
2025-01-02T22:41:17+02:00 Bucharest,894ppm
2025-01-02T22:45:00+02:00 Bucharest,894ppm
2025-01-02T22:51:17+02:00 Bucharest,896ppm
2025-01-02T23:00:00+02:00 Bucharest,896ppm
2025-01-02T23:11:17+02:00 Bucharest,908ppm
2025-01-02T23:15:00+02:00 Bucharest,908ppm
2025-01-02T23:30:00+02:00 Bucharest,908ppm
2025-01-02T23:41:18+02:00 Bucharest,916ppm
2025-01-02T23:45:00+02:00 Bucharest,916ppm
2025-01-03T00:00:00+02:00 Bucharest,916ppm
2025-01-03T00:01:17+02:00 Bucharest,926ppm
2025-01-03T00:15:00+02:00 Bucharest,926ppm
2025-01-03T00:30:00+02:00 Bucharest,926ppm
2025-01-03T00:45:00+02:00 Bucharest,926ppm
2025-01-03T00:51:18+02:00 Bucharest,943ppm
2025-01-03T01:00:00+02:00 Bucharest,943ppm
2025-01-03T01:01:17+02:00 Bucharest,953ppm
2025-01-03T01:15:00+02:00 Bucharest,953ppm
2025-01-03T01:21:18+02:00 Bucharest,951ppm
2025-01-03T01:30:00+02:00 Bucharest,951ppm
2025-01-03T01:31:17+02:00 Bucharest,932ppm
2025-01-03T01:41:17+02:00 Bucharest,928ppm
2025-01-03T01:45:00+02:00 Bucharest,928ppm
2025-01-03T02:00:00+02:00 Bucharest,928ppm
2025-01-03T02:11:17+02:00 Bucharest,916ppm
2025-01-03T02:15:00+02:00 Bucharest,916ppm
2025-01-03T02:30:00+02:00 Bucharest,916ppm
2025-01-03T02:45:00+02:00 Bucharest,916ppm
2025-01-03T03:00:00+02:00 Bucharest,916ppm
2025-01-03T03:15:00+02:00 Bucharest,916ppm
2025-01-03T03:30:00+02:00 Bucharest,916ppm
2025-01-03T03:41:17+02:00 Bucharest,977ppm
2025-01-03T03:45:00+02:00 Bucharest,977ppm
2025-01-03T04:00:00+02:00 Bucharest,977ppm
2025-01-03T04:01:17+02:00 Bucharest,957ppm
