ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:13.285Z hisSize:62716 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d997a3d-7118020b "Site B Room 4 Living AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:100ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:tvoc"
2025-01-02T05:30:00+02:00 Bucharest,100ppb
2025-01-02T05:45:00+02:00 Bucharest,100ppb
2025-01-02T06:00:00+02:00 Bucharest,100ppb
2025-01-02T06:15:00+02:00 Bucharest,100ppb
2025-01-02T06:30:00+02:00 Bucharest,100ppb
2025-01-02T06:45:00+02:00 Bucharest,100ppb
2025-01-02T07:00:00+02:00 Bucharest,100ppb
2025-01-02T07:15:00+02:00 Bucharest,100ppb
2025-01-02T07:30:00+02:00 Bucharest,100ppb
2025-01-02T07:45:00+02:00 Bucharest,100ppb
2025-01-02T08:00:00+02:00 Bucharest,100ppb
2025-01-02T08:15:00+02:00 Bucharest,100ppb
2025-01-02T08:30:00+02:00 Bucharest,100ppb
2025-01-02T08:45:00+02:00 Bucharest,100ppb
2025-01-02T09:00:00+02:00 Bucharest,100ppb
2025-01-02T09:15:00+02:00 Bucharest,100ppb
2025-01-02T09:30:00+02:00 Bucharest,100ppb
2025-01-02T09:45:00+02:00 Bucharest,100ppb
2025-01-02T10:00:00+02:00 Bucharest,100ppb
2025-01-02T10:15:00+02:00 Bucharest,100ppb
2025-01-02T10:30:00+02:00 Bucharest,100ppb
2025-01-02T10:45:00+02:00 Bucharest,100ppb
2025-01-02T11:00:00+02:00 Bucharest,100ppb
2025-01-02T11:15:00+02:00 Bucharest,100ppb
2025-01-02T11:30:00+02:00 Bucharest,100ppb
2025-01-02T11:45:00+02:00 Bucharest,100ppb
2025-01-02T12:00:00+02:00 Bucharest,100ppb
2025-01-02T12:15:00+02:00 Bucharest,100ppb
2025-01-02T12:30:00+02:00 Bucharest,100ppb
2025-01-02T12:45:00+02:00 Bucharest,100ppb
2025-01-02T13:00:00+02:00 Bucharest,100ppb
2025-01-02T13:15:00+02:00 Bucharest,100ppb
2025-01-02T13:30:00+02:00 Bucharest,100ppb
2025-01-02T13:45:00+02:00 Bucharest,100ppb
2025-01-02T14:00:00+02:00 Bucharest,100ppb
2025-01-02T14:15:00+02:00 Bucharest,100ppb
2025-01-02T14:30:00+02:00 Bucharest,100ppb
2025-01-02T14:45:00+02:00 Bucharest,100ppb
2025-01-02T15:00:00+02:00 Bucharest,100ppb
2025-01-02T15:15:00+02:00 Bucharest,100ppb
2025-01-02T15:30:00+02:00 Bucharest,100ppb
2025-01-02T15:45:00+02:00 Bucharest,100ppb
2025-01-02T16:00:00+02:00 Bucharest,100ppb
2025-01-02T16:15:00+02:00 Bucharest,100ppb
2025-01-02T16:30:00+02:00 Bucharest,100ppb
2025-01-02T16:37:59+02:00 Bucharest,125ppb
2025-01-02T16:45:00+02:00 Bucharest,125ppb
2025-01-02T16:47:59+02:00 Bucharest,106ppb
2025-01-02T16:57:58+02:00 Bucharest,100ppb
2025-01-02T17:00:00+02:00 Bucharest,100ppb
2025-01-02T17:15:00+02:00 Bucharest,100ppb
2025-01-02T17:30:00+02:00 Bucharest,100ppb
2025-01-02T17:45:00+02:00 Bucharest,100ppb
2025-01-02T18:00:00+02:00 Bucharest,100ppb
2025-01-02T18:15:00+02:00 Bucharest,100ppb
2025-01-02T18:30:00+02:00 Bucharest,100ppb
2025-01-02T18:45:00+02:00 Bucharest,100ppb
2025-01-02T19:00:00+02:00 Bucharest,100ppb
2025-01-02T19:15:00+02:00 Bucharest,100ppb
2025-01-02T19:30:00+02:00 Bucharest,100ppb
2025-01-02T19:45:00+02:00 Bucharest,100ppb
2025-01-02T20:00:00+02:00 Bucharest,100ppb
2025-01-02T20:15:00+02:00 Bucharest,100ppb
2025-01-02T20:30:00+02:00 Bucharest,100ppb
2025-01-02T20:45:00+02:00 Bucharest,100ppb
2025-01-02T21:00:00+02:00 Bucharest,100ppb
2025-01-02T21:15:00+02:00 Bucharest,100ppb
2025-01-02T21:30:00+02:00 Bucharest,100ppb
2025-01-02T21:45:00+02:00 Bucharest,100ppb
2025-01-02T22:00:00+02:00 Bucharest,100ppb
2025-01-02T22:15:00+02:00 Bucharest,100ppb
2025-01-02T22:30:00+02:00 Bucharest,100ppb
2025-01-02T22:45:00+02:00 Bucharest,100ppb
2025-01-02T23:00:00+02:00 Bucharest,100ppb
2025-01-02T23:15:00+02:00 Bucharest,100ppb
2025-01-02T23:30:00+02:00 Bucharest,100ppb
2025-01-02T23:45:00+02:00 Bucharest,100ppb
2025-01-03T00:00:00+02:00 Bucharest,100ppb
2025-01-03T00:15:00+02:00 Bucharest,100ppb
2025-01-03T00:30:00+02:00 Bucharest,100ppb
2025-01-03T00:45:00+02:00 Bucharest,100ppb
2025-01-03T01:00:00+02:00 Bucharest,100ppb
2025-01-03T01:15:00+02:00 Bucharest,100ppb
2025-01-03T01:30:00+02:00 Bucharest,100ppb
2025-01-03T01:45:00+02:00 Bucharest,100ppb
2025-01-03T02:00:00+02:00 Bucharest,100ppb
2025-01-03T02:15:00+02:00 Bucharest,100ppb
2025-01-03T02:30:00+02:00 Bucharest,100ppb
2025-01-03T02:45:00+02:00 Bucharest,100ppb
2025-01-03T03:00:00+02:00 Bucharest,100ppb
2025-01-03T03:15:00+02:00 Bucharest,100ppb
2025-01-03T03:30:00+02:00 Bucharest,100ppb
2025-01-03T03:45:00+02:00 Bucharest,100ppb
2025-01-03T04:00:00+02:00 Bucharest,100ppb
2025-01-03T04:15:00+02:00 Bucharest,100ppb
2025-01-03T04:30:00+02:00 Bucharest,100ppb
2025-01-03T04:45:00+02:00 Bucharest,100ppb
2025-01-03T05:00:00+02:00 Bucharest,100ppb
2025-01-03T05:15:00+02:00 Bucharest,100ppb
2025-01-03T05:30:00+02:00 Bucharest,100ppb
2025-01-03T05:45:00+02:00 Bucharest,100ppb
2025-01-03T06:00:00+02:00 Bucharest,100ppb
2025-01-03T06:15:00+02:00 Bucharest,100ppb
2025-01-03T06:30:00+02:00 Bucharest,100ppb
2025-01-03T06:45:00+02:00 Bucharest,100ppb
2025-01-03T07:00:00+02:00 Bucharest,100ppb
2025-01-03T07:15:00+02:00 Bucharest,100ppb
2025-01-03T07:30:00+02:00 Bucharest,100ppb
2025-01-03T07:45:00+02:00 Bucharest,100ppb
2025-01-03T08:00:00+02:00 Bucharest,100ppb
2025-01-03T08:15:00+02:00 Bucharest,100ppb
2025-01-03T08:30:00+02:00 Bucharest,100ppb
2025-01-03T08:45:00+02:00 Bucharest,100ppb
2025-01-03T09:00:00+02:00 Bucharest,100ppb
2025-01-03T09:15:00+02:00 Bucharest,100ppb
2025-01-03T09:30:00+02:00 Bucharest,100ppb
