ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:42:27.189Z hisSize:48608 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint his id:@p:linkEdge:r:2d9ab1c2-67e6b723 "Site B Room 3 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:46:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point curVal:24.4°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba"
2025-01-02T03:15:00+02:00 Bucharest,24°C
2025-01-02T03:30:00+02:00 Bucharest,24°C
2025-01-02T03:45:00+02:00 Bucharest,24°C
2025-01-02T03:59:49+02:00 Bucharest,23.899999618530273°C
2025-01-02T04:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T04:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T04:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T04:40:01+02:00 Bucharest,23.700000762939453°C
2025-01-02T04:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T05:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T05:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T05:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T05:40:01+02:00 Bucharest,23.5°C
2025-01-02T05:45:00+02:00 Bucharest,23.5°C
2025-01-02T06:00:00+02:00 Bucharest,23.5°C
2025-01-02T06:15:00+02:00 Bucharest,23.5°C
2025-01-02T06:19:49+02:00 Bucharest,23.600000381469727°C
2025-01-02T06:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T06:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T06:49:49+02:00 Bucharest,23.899999618530273°C
2025-01-02T07:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T07:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T07:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T07:39:49+02:00 Bucharest,24.100000381469727°C
2025-01-02T07:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T08:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T08:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T08:29:49+02:00 Bucharest,24°C
2025-01-02T08:30:00+02:00 Bucharest,24°C
2025-01-02T08:45:00+02:00 Bucharest,24°C
2025-01-02T08:50:01+02:00 Bucharest,23.899999618530273°C
2025-01-02T09:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T09:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T09:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T09:39:49+02:00 Bucharest,23.700000762939453°C
2025-01-02T09:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T09:49:49+02:00 Bucharest,23.799999237060547°C
2025-01-02T10:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T10:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T10:29:49+02:00 Bucharest,24.100000381469727°C
2025-01-02T10:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T10:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T11:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T11:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T11:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T11:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T12:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-02T12:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T12:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T12:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-02T12:49:50+02:00 Bucharest,24°C
2025-01-02T13:00:00+02:00 Bucharest,24°C
2025-01-02T13:15:00+02:00 Bucharest,24°C
2025-01-02T13:29:49+02:00 Bucharest,23.899999618530273°C
2025-01-02T13:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T13:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T14:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T14:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T14:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T14:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T15:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T15:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T15:19:49+02:00 Bucharest,23.700000762939453°C
2025-01-02T15:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T15:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T15:59:49+02:00 Bucharest,23.5°C
2025-01-02T16:00:00+02:00 Bucharest,23.5°C
2025-01-02T16:15:00+02:00 Bucharest,23.5°C
2025-01-02T16:30:00+02:00 Bucharest,23.5°C
2025-01-02T16:45:00+02:00 Bucharest,23.5°C
2025-01-02T16:49:50+02:00 Bucharest,23.399999618530273°C
2025-01-02T17:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T17:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T17:29:49+02:00 Bucharest,23.700000762939453°C
2025-01-02T17:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T17:39:49+02:00 Bucharest,23.799999237060547°C
2025-01-02T17:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T18:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T18:09:49+02:00 Bucharest,24°C
2025-01-02T18:15:00+02:00 Bucharest,24°C
2025-01-02T18:30:00+02:00 Bucharest,24°C
2025-01-02T18:45:00+02:00 Bucharest,24°C
2025-01-02T19:00:00+02:00 Bucharest,24°C
2025-01-02T19:10:02+02:00 Bucharest,23.899999618530273°C
2025-01-02T19:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T19:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T19:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T19:49:49+02:00 Bucharest,23.700000762939453°C
2025-01-02T20:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-02T20:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-02T20:19:49+02:00 Bucharest,23.5°C
2025-01-02T20:30:00+02:00 Bucharest,23.5°C
2025-01-02T20:45:00+02:00 Bucharest,23.5°C
2025-01-02T20:49:50+02:00 Bucharest,23.399999618530273°C
2025-01-02T21:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T21:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T21:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T21:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T22:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-02T22:10:02+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-02T22:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T23:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T23:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-02T23:19:49+02:00 Bucharest,24°C
2025-01-02T23:30:00+02:00 Bucharest,24°C
2025-01-02T23:39:50+02:00 Bucharest,24.100000381469727°C
2025-01-02T23:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T00:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T00:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T00:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T00:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T00:49:50+02:00 Bucharest,24.399999618530273°C
2025-01-03T01:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T01:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T01:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T01:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T02:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T02:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T02:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T02:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T03:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T03:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T03:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T03:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T04:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-03T04:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T04:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T04:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-03T04:59:49+02:00 Bucharest,24°C
2025-01-03T05:00:00+02:00 Bucharest,24°C
2025-01-03T05:15:00+02:00 Bucharest,24°C
2025-01-03T05:30:00+02:00 Bucharest,24°C
2025-01-03T05:45:00+02:00 Bucharest,24°C
2025-01-03T05:49:50+02:00 Bucharest,23.899999618530273°C
2025-01-03T06:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T06:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T06:20:02+02:00 Bucharest,24°C
2025-01-03T06:30:00+02:00 Bucharest,24°C
2025-01-03T06:45:00+02:00 Bucharest,24°C
2025-01-03T06:49:49+02:00 Bucharest,24.200000762939453°C
2025-01-03T07:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T07:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T07:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T07:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T08:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T08:10:02+02:00 Bucharest,24°C
2025-01-03T08:15:00+02:00 Bucharest,24°C
2025-01-03T08:30:00+02:00 Bucharest,24°C
2025-01-03T08:45:00+02:00 Bucharest,24°C
2025-01-03T08:59:49+02:00 Bucharest,23.899999618530273°C
2025-01-03T09:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T09:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T09:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T09:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T09:50:02+02:00 Bucharest,24°C
2025-01-03T09:59:50+02:00 Bucharest,24.100000381469727°C
2025-01-03T10:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T10:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T10:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T10:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T11:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T11:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T11:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-03T11:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T12:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-03T12:09:50+02:00 Bucharest,23.899999618530273°C
2025-01-03T12:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T12:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T12:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T13:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T13:10:02+02:00 Bucharest,23.700000762939453°C
2025-01-03T13:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T13:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T13:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T14:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T14:15:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T14:29:50+02:00 Bucharest,23.799999237060547°C
2025-01-03T14:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T14:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T14:50:03+02:00 Bucharest,24°C
2025-01-03T15:00:00+02:00 Bucharest,24°C
2025-01-03T15:15:00+02:00 Bucharest,24°C
2025-01-03T15:19:49+02:00 Bucharest,24.100000381469727°C
2025-01-03T15:29:50+02:00 Bucharest,24°C
2025-01-03T15:30:00+02:00 Bucharest,24°C
2025-01-03T15:45:00+02:00 Bucharest,24°C
2025-01-03T16:00:00+02:00 Bucharest,24°C
2025-01-03T16:09:50+02:00 Bucharest,23.899999618530273°C
2025-01-03T16:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T16:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T16:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T17:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T17:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T17:29:49+02:00 Bucharest,23.600000381469727°C
2025-01-03T17:30:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T17:45:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T17:59:50+02:00 Bucharest,23.5°C
2025-01-03T18:00:00+02:00 Bucharest,23.5°C
2025-01-03T18:15:00+02:00 Bucharest,23.5°C
2025-01-03T18:19:50+02:00 Bucharest,23.399999618530273°C
2025-01-03T18:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T18:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-03T18:49:50+02:00 Bucharest,23.600000381469727°C
2025-01-03T19:00:00+02:00 Bucharest,23.600000381469727°C
2025-01-03T19:09:50+02:00 Bucharest,23.799999237060547°C
2025-01-03T19:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T19:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T19:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-03T20:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T20:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T20:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T20:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-03T20:59:50+02:00 Bucharest,23.700000762939453°C
2025-01-03T21:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T21:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T21:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T21:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T22:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-03T22:09:50+02:00 Bucharest,23.5°C
2025-01-03T22:15:00+02:00 Bucharest,23.5°C
2025-01-03T22:29:50+02:00 Bucharest,23.399999618530273°C
2025-01-03T22:30:00+02:00 Bucharest,23.399999618530273°C
