ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:41:37.947Z hisSize:33838 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint amSensorAM107ModelId:"_amSensorAM107_point:humidity" point maxVal:100 his minVal:0 disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" humidity navName:"Humidity" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-07cee7e3 "Site B Room 5 AQ Humidity" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"humidity" unit:"%RH" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-02T07:30:00+02:00 Bucharest,39.5%RH
2025-01-02T07:40:17+02:00 Bucharest,39%RH
2025-01-02T07:45:00+02:00 Bucharest,39%RH
2025-01-02T08:00:00+02:00 Bucharest,39%RH
2025-01-02T08:15:00+02:00 Bucharest,39%RH
2025-01-02T08:30:00+02:00 Bucharest,39%RH
2025-01-02T08:40:17+02:00 Bucharest,39.5%RH
2025-01-02T08:45:00+02:00 Bucharest,39.5%RH
2025-01-02T09:00:00+02:00 Bucharest,39.5%RH
2025-01-02T09:15:00+02:00 Bucharest,39.5%RH
2025-01-02T09:30:00+02:00 Bucharest,39.5%RH
2025-01-02T09:45:00+02:00 Bucharest,39.5%RH
2025-01-02T10:00:00+02:00 Bucharest,39.5%RH
2025-01-02T10:15:00+02:00 Bucharest,39.5%RH
2025-01-02T10:30:00+02:00 Bucharest,39.5%RH
2025-01-02T10:31:00+02:00 Bucharest,38.5%RH
2025-01-02T10:45:00+02:00 Bucharest,38.5%RH
2025-01-02T11:00:00+02:00 Bucharest,38.5%RH
2025-01-02T11:15:00+02:00 Bucharest,38.5%RH
2025-01-02T11:30:00+02:00 Bucharest,38.5%RH
2025-01-02T11:40:17+02:00 Bucharest,38%RH
2025-01-02T11:45:00+02:00 Bucharest,38%RH
2025-01-02T12:00:00+02:00 Bucharest,38%RH
2025-01-02T12:15:00+02:00 Bucharest,38%RH
2025-01-02T12:30:00+02:00 Bucharest,38%RH
2025-01-02T12:45:00+02:00 Bucharest,38%RH
2025-01-02T12:50:17+02:00 Bucharest,38.5%RH
2025-01-02T13:00:00+02:00 Bucharest,38.5%RH
2025-01-02T13:15:00+02:00 Bucharest,38.5%RH
2025-01-02T13:30:00+02:00 Bucharest,38.5%RH
2025-01-02T13:45:00+02:00 Bucharest,38.5%RH
2025-01-02T13:50:17+02:00 Bucharest,39%RH
2025-01-02T14:00:00+02:00 Bucharest,39%RH
2025-01-02T14:15:00+02:00 Bucharest,39%RH
2025-01-02T14:30:00+02:00 Bucharest,39%RH
2025-01-02T14:45:00+02:00 Bucharest,39%RH
2025-01-02T15:00:00+02:00 Bucharest,39%RH
2025-01-02T15:01:00+02:00 Bucharest,39.5%RH
2025-01-02T15:15:00+02:00 Bucharest,39.5%RH
2025-01-02T15:30:00+02:00 Bucharest,39.5%RH
2025-01-02T15:31:00+02:00 Bucharest,40%RH
2025-01-02T15:45:00+02:00 Bucharest,40%RH
2025-01-02T16:00:00+02:00 Bucharest,40%RH
2025-01-02T16:15:00+02:00 Bucharest,40%RH
2025-01-02T16:20:17+02:00 Bucharest,40.5%RH
2025-01-02T16:30:00+02:00 Bucharest,40.5%RH
2025-01-02T16:45:00+02:00 Bucharest,40.5%RH
2025-01-02T17:00:00+02:00 Bucharest,40.5%RH
2025-01-02T17:15:00+02:00 Bucharest,40.5%RH
2025-01-02T17:30:00+02:00 Bucharest,40.5%RH
2025-01-02T17:40:17+02:00 Bucharest,40%RH
2025-01-02T17:45:00+02:00 Bucharest,40%RH
2025-01-02T18:00:00+02:00 Bucharest,40%RH
2025-01-02T18:15:00+02:00 Bucharest,40%RH
2025-01-02T18:30:00+02:00 Bucharest,40%RH
2025-01-02T18:45:00+02:00 Bucharest,40%RH
2025-01-02T19:00:00+02:00 Bucharest,40%RH
2025-01-02T19:15:00+02:00 Bucharest,40%RH
2025-01-02T19:20:17+02:00 Bucharest,40.5%RH
2025-01-02T19:30:00+02:00 Bucharest,40.5%RH
2025-01-02T19:45:00+02:00 Bucharest,40.5%RH
2025-01-02T20:00:00+02:00 Bucharest,40.5%RH
2025-01-02T20:15:00+02:00 Bucharest,40.5%RH
2025-01-02T20:30:00+02:00 Bucharest,40.5%RH
2025-01-02T20:45:00+02:00 Bucharest,40.5%RH
2025-01-02T21:00:00+02:00 Bucharest,40.5%RH
2025-01-02T21:15:00+02:00 Bucharest,40.5%RH
2025-01-02T21:30:00+02:00 Bucharest,40.5%RH
2025-01-02T21:45:00+02:00 Bucharest,40.5%RH
2025-01-02T22:00:00+02:00 Bucharest,40.5%RH
2025-01-02T22:10:17+02:00 Bucharest,40%RH
2025-01-02T22:15:00+02:00 Bucharest,40%RH
2025-01-02T22:30:00+02:00 Bucharest,40%RH
2025-01-02T22:45:00+02:00 Bucharest,40%RH
2025-01-02T23:00:00+02:00 Bucharest,40%RH
2025-01-02T23:15:00+02:00 Bucharest,40%RH
2025-01-02T23:30:00+02:00 Bucharest,40%RH
2025-01-02T23:45:00+02:00 Bucharest,40%RH
2025-01-03T00:00:00+02:00 Bucharest,40%RH
2025-01-03T00:15:00+02:00 Bucharest,40%RH
2025-01-03T00:30:00+02:00 Bucharest,40%RH
2025-01-03T00:45:00+02:00 Bucharest,40%RH
2025-01-03T01:00:00+02:00 Bucharest,40%RH
2025-01-03T01:15:00+02:00 Bucharest,40%RH
2025-01-03T01:30:00+02:00 Bucharest,40%RH
2025-01-03T01:45:00+02:00 Bucharest,40%RH
2025-01-03T02:00:00+02:00 Bucharest,40%RH
2025-01-03T02:10:16+02:00 Bucharest,39.5%RH
2025-01-03T02:15:00+02:00 Bucharest,39.5%RH
2025-01-03T02:30:00+02:00 Bucharest,39.5%RH
2025-01-03T02:45:00+02:00 Bucharest,39.5%RH
2025-01-03T03:00:00+02:00 Bucharest,39.5%RH
2025-01-03T03:15:00+02:00 Bucharest,39.5%RH
2025-01-03T03:30:00+02:00 Bucharest,39.5%RH
2025-01-03T03:40:17+02:00 Bucharest,40%RH
2025-01-03T03:45:00+02:00 Bucharest,40%RH
2025-01-03T04:00:00+02:00 Bucharest,40%RH
2025-01-03T04:15:00+02:00 Bucharest,40%RH
2025-01-03T04:30:00+02:00 Bucharest,40%RH
2025-01-03T04:45:00+02:00 Bucharest,40%RH
2025-01-03T05:00:00+02:00 Bucharest,40%RH
2025-01-03T05:15:00+02:00 Bucharest,40%RH
2025-01-03T05:30:00+02:00 Bucharest,40%RH
2025-01-03T05:45:00+02:00 Bucharest,40%RH
2025-01-03T06:00:00+02:00 Bucharest,40%RH
2025-01-03T06:15:00+02:00 Bucharest,40%RH
2025-01-03T06:20:17+02:00 Bucharest,39.5%RH
2025-01-03T06:30:00+02:00 Bucharest,39.5%RH
2025-01-03T06:45:00+02:00 Bucharest,39.5%RH
2025-01-03T07:00:00+02:00 Bucharest,39.5%RH
2025-01-03T07:15:00+02:00 Bucharest,39.5%RH
2025-01-03T07:30:00+02:00 Bucharest,39.5%RH
2025-01-03T07:45:00+02:00 Bucharest,39.5%RH
2025-01-03T08:00:00+02:00 Bucharest,39.5%RH
2025-01-03T08:15:00+02:00 Bucharest,39.5%RH
2025-01-03T08:30:00+02:00 Bucharest,39.5%RH
2025-01-03T08:45:00+02:00 Bucharest,39.5%RH
2025-01-03T09:00:00+02:00 Bucharest,39.5%RH
2025-01-03T09:15:00+02:00 Bucharest,39.5%RH
2025-01-03T09:30:00+02:00 Bucharest,39.5%RH
2025-01-03T09:45:00+02:00 Bucharest,39.5%RH
2025-01-03T10:00:00+02:00 Bucharest,39.5%RH
2025-01-03T10:10:16+02:00 Bucharest,39%RH
2025-01-03T10:15:00+02:00 Bucharest,39%RH
2025-01-03T10:30:00+02:00 Bucharest,39%RH
2025-01-03T10:45:00+02:00 Bucharest,39%RH
2025-01-03T11:00:00+02:00 Bucharest,39%RH
2025-01-03T11:10:16+02:00 Bucharest,38.5%RH
2025-01-03T11:15:00+02:00 Bucharest,38.5%RH
2025-01-03T11:30:00+02:00 Bucharest,38.5%RH
2025-01-03T11:31:00+02:00 Bucharest,39%RH
2025-01-03T11:45:00+02:00 Bucharest,39%RH
2025-01-03T12:00:00+02:00 Bucharest,39%RH
2025-01-03T12:15:00+02:00 Bucharest,39%RH
2025-01-03T12:30:00+02:00 Bucharest,39%RH
2025-01-03T12:45:00+02:00 Bucharest,39%RH
2025-01-03T13:00:00+02:00 Bucharest,39%RH
2025-01-03T13:10:17+02:00 Bucharest,39.5%RH
2025-01-03T13:15:00+02:00 Bucharest,39.5%RH
2025-01-03T13:30:00+02:00 Bucharest,39.5%RH
2025-01-03T13:45:00+02:00 Bucharest,39.5%RH
2025-01-03T14:00:00+02:00 Bucharest,39.5%RH
2025-01-03T14:15:00+02:00 Bucharest,39.5%RH
2025-01-03T14:30:00+02:00 Bucharest,39.5%RH
2025-01-03T14:31:00+02:00 Bucharest,39%RH
2025-01-03T14:45:00+02:00 Bucharest,39%RH
2025-01-03T15:00:00+02:00 Bucharest,39%RH
2025-01-03T15:15:00+02:00 Bucharest,39%RH
2025-01-03T15:30:00+02:00 Bucharest,39%RH
2025-01-03T15:31:00+02:00 Bucharest,38.5%RH
2025-01-03T15:40:16+02:00 Bucharest,39%RH
2025-01-03T15:45:00+02:00 Bucharest,39%RH
2025-01-03T16:00:00+02:00 Bucharest,39%RH
2025-01-03T16:15:00+02:00 Bucharest,39%RH
2025-01-03T16:30:00+02:00 Bucharest,39%RH
2025-01-03T16:45:00+02:00 Bucharest,39%RH
2025-01-03T17:00:00+02:00 Bucharest,39%RH
2025-01-03T17:15:00+02:00 Bucharest,39%RH
2025-01-03T17:30:00+02:00 Bucharest,39%RH
2025-01-03T17:45:00+02:00 Bucharest,39%RH
2025-01-03T17:50:16+02:00 Bucharest,39.5%RH
2025-01-03T18:00:00+02:00 Bucharest,39.5%RH
2025-01-03T18:15:00+02:00 Bucharest,39.5%RH
2025-01-03T18:30:00+02:00 Bucharest,39.5%RH
2025-01-03T18:45:00+02:00 Bucharest,39.5%RH
2025-01-03T19:00:00+02:00 Bucharest,39.5%RH
2025-01-03T19:15:00+02:00 Bucharest,39.5%RH
2025-01-03T19:30:00+02:00 Bucharest,39.5%RH
2025-01-03T19:45:00+02:00 Bucharest,39.5%RH
2025-01-03T19:50:17+02:00 Bucharest,39%RH
2025-01-03T20:00:00+02:00 Bucharest,39%RH
2025-01-03T20:15:00+02:00 Bucharest,39%RH
2025-01-03T20:20:17+02:00 Bucharest,39.5%RH
2025-01-03T20:30:00+02:00 Bucharest,39.5%RH
2025-01-03T20:45:00+02:00 Bucharest,39.5%RH
2025-01-03T21:00:00+02:00 Bucharest,39.5%RH
2025-01-03T21:15:00+02:00 Bucharest,39.5%RH
2025-01-03T21:30:00+02:00 Bucharest,39.5%RH
2025-01-03T21:45:00+02:00 Bucharest,39.5%RH
2025-01-03T22:00:00+02:00 Bucharest,39.5%RH
2025-01-03T22:15:00+02:00 Bucharest,39.5%RH
2025-01-03T22:30:00+02:00 Bucharest,39.5%RH
2025-01-03T22:31:00+02:00 Bucharest,40%RH
2025-01-03T22:45:00+02:00 Bucharest,40%RH
2025-01-03T23:00:00+02:00 Bucharest,40%RH
2025-01-03T23:15:00+02:00 Bucharest,40%RH
2025-01-03T23:30:00+02:00 Bucharest,40%RH
2025-01-03T23:31:00+02:00 Bucharest,39.5%RH
2025-01-03T23:45:00+02:00 Bucharest,39.5%RH
2025-01-04T00:00:00+02:00 Bucharest,39.5%RH
2025-01-04T00:15:00+02:00 Bucharest,39.5%RH
2025-01-04T00:30:00+02:00 Bucharest,39.5%RH
2025-01-04T00:45:00+02:00 Bucharest,39.5%RH
2025-01-04T01:00:00+02:00 Bucharest,39.5%RH
2025-01-04T01:15:00+02:00 Bucharest,39.5%RH
2025-01-04T01:30:00+02:00 Bucharest,39.5%RH
2025-01-04T01:45:00+02:00 Bucharest,39.5%RH
2025-01-04T02:00:00+02:00 Bucharest,39.5%RH
2025-01-04T02:15:00+02:00 Bucharest,39.5%RH
2025-01-04T02:30:00+02:00 Bucharest,39.5%RH
2025-01-04T02:45:00+02:00 Bucharest,39.5%RH
2025-01-04T03:00:00+02:00 Bucharest,39.5%RH
2025-01-04T03:01:00+02:00 Bucharest,40%RH
2025-01-04T03:15:00+02:00 Bucharest,40%RH
2025-01-04T03:30:00+02:00 Bucharest,40%RH
2025-01-04T03:45:00+02:00 Bucharest,40%RH
2025-01-04T04:00:00+02:00 Bucharest,40%RH
2025-01-04T04:10:16+02:00 Bucharest,39.5%RH
2025-01-04T04:15:00+02:00 Bucharest,39.5%RH
2025-01-04T04:30:00+02:00 Bucharest,39.5%RH
2025-01-04T04:45:00+02:00 Bucharest,39.5%RH
2025-01-04T04:50:17+02:00 Bucharest,39%RH
2025-01-04T05:00:00+02:00 Bucharest,39%RH
2025-01-04T05:15:00+02:00 Bucharest,39%RH
2025-01-04T05:30:00+02:00 Bucharest,39%RH
2025-01-04T05:45:00+02:00 Bucharest,39%RH
2025-01-04T06:00:00+02:00 Bucharest,39%RH
2025-01-04T06:15:00+02:00 Bucharest,39%RH
2025-01-04T06:20:16+02:00 Bucharest,39.5%RH
2025-01-04T06:30:00+02:00 Bucharest,39.5%RH
2025-01-04T06:45:00+02:00 Bucharest,39.5%RH
2025-01-04T07:00:00+02:00 Bucharest,39.5%RH
2025-01-04T07:15:00+02:00 Bucharest,39.5%RH
2025-01-04T07:30:00+02:00 Bucharest,39.5%RH
