ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:41:21.75Z hisSize:52228 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-8809b2ca "Site B Room 5 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-03T11:00:00+02:00 Bucharest,139ppb
2025-01-03T11:01:00+02:00 Bucharest,134ppb
2025-01-03T11:10:16+02:00 Bucharest,131ppb
2025-01-03T11:15:00+02:00 Bucharest,131ppb
2025-01-03T11:30:00+02:00 Bucharest,131ppb
2025-01-03T11:31:00+02:00 Bucharest,128ppb
2025-01-03T11:45:00+02:00 Bucharest,128ppb
2025-01-03T12:00:00+02:00 Bucharest,128ppb
2025-01-03T12:10:16+02:00 Bucharest,127ppb
2025-01-03T12:15:00+02:00 Bucharest,127ppb
2025-01-03T12:30:00+02:00 Bucharest,127ppb
2025-01-03T12:40:17+02:00 Bucharest,123ppb
2025-01-03T12:45:00+02:00 Bucharest,123ppb
2025-01-03T13:00:00+02:00 Bucharest,123ppb
2025-01-03T13:10:17+02:00 Bucharest,121ppb
2025-01-03T13:15:00+02:00 Bucharest,121ppb
2025-01-03T13:30:00+02:00 Bucharest,121ppb
2025-01-03T13:40:17+02:00 Bucharest,119ppb
2025-01-03T13:45:00+02:00 Bucharest,119ppb
2025-01-03T14:00:00+02:00 Bucharest,119ppb
2025-01-03T14:10:17+02:00 Bucharest,125ppb
2025-01-03T14:15:00+02:00 Bucharest,125ppb
2025-01-03T14:30:00+02:00 Bucharest,125ppb
2025-01-03T14:31:00+02:00 Bucharest,132ppb
2025-01-03T14:45:00+02:00 Bucharest,132ppb
2025-01-03T14:50:17+02:00 Bucharest,134ppb
2025-01-03T15:00:00+02:00 Bucharest,134ppb
2025-01-03T15:15:00+02:00 Bucharest,134ppb
2025-01-03T15:30:00+02:00 Bucharest,134ppb
2025-01-03T15:31:00+02:00 Bucharest,132ppb
2025-01-03T15:40:16+02:00 Bucharest,130ppb
2025-01-03T15:45:00+02:00 Bucharest,130ppb
2025-01-03T16:00:00+02:00 Bucharest,130ppb
2025-01-03T16:15:00+02:00 Bucharest,130ppb
2025-01-03T16:30:00+02:00 Bucharest,130ppb
2025-01-03T16:45:00+02:00 Bucharest,130ppb
2025-01-03T17:00:00+02:00 Bucharest,130ppb
2025-01-03T17:15:00+02:00 Bucharest,130ppb
2025-01-03T17:30:00+02:00 Bucharest,130ppb
2025-01-03T17:45:00+02:00 Bucharest,130ppb
2025-01-03T17:50:16+02:00 Bucharest,124ppb
2025-01-03T18:00:00+02:00 Bucharest,124ppb
2025-01-03T18:15:00+02:00 Bucharest,124ppb
2025-01-03T18:20:16+02:00 Bucharest,123ppb
2025-01-03T18:30:00+02:00 Bucharest,123ppb
2025-01-03T18:45:00+02:00 Bucharest,123ppb
2025-01-03T18:50:17+02:00 Bucharest,132ppb
2025-01-03T19:00:00+02:00 Bucharest,132ppb
2025-01-03T19:10:16+02:00 Bucharest,137ppb
