ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" mod:2024-04-12T14:37:14.402Z hisSize:33462 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b90-ac30c77f "Site B Room 5" lorawanPoint curStatus:"unknown" amSensorAM107ModelId:"_amSensorAM107_point:temperature" point his disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab104-e21f5c37 "5 AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab104-58bf844a "Site B Room 5 AQ" id:@p:linkEdge:r:2d9ab104-dec225aa "Site B Room 5 AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2025-09-28T11:00:00+03:00 Bucharest temp hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" unit:"°C" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-10T07:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-10T07:50:18+02:00 Bucharest,24.5°C
2025-01-10T08:00:00+02:00 Bucharest,24.5°C
2025-01-10T08:15:00+02:00 Bucharest,24.5°C
2025-01-10T08:30:00+02:00 Bucharest,24.5°C
2025-01-10T08:40:17+02:00 Bucharest,24.100000381469727°C
2025-01-10T08:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T09:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T09:10:18+02:00 Bucharest,24°C
2025-01-10T09:15:00+02:00 Bucharest,24°C
2025-01-10T09:30:00+02:00 Bucharest,24°C
2025-01-10T09:31:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T09:40:18+02:00 Bucharest,24°C
2025-01-10T09:45:00+02:00 Bucharest,24°C
2025-01-10T09:50:18+02:00 Bucharest,24.299999237060547°C
2025-01-10T10:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-10T10:01:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T10:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T10:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T10:31:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T10:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T11:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T11:15:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T11:30:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T11:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-10T11:50:18+02:00 Bucharest,24.899999618530273°C
2025-01-10T12:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-10T12:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-10T12:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-10T12:31:00+02:00 Bucharest,24.700000762939453°C
2025-01-10T12:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T13:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T13:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-10T13:20:18+02:00 Bucharest,24.5°C
2025-01-10T13:30:00+02:00 Bucharest,24.5°C
2025-01-10T13:40:18+02:00 Bucharest,24.399999618530273°C
2025-01-10T13:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-10T14:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-10T14:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-10T14:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-10T14:40:17+02:00 Bucharest,24.200000762939453°C
2025-01-10T14:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T15:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T15:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T15:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T16:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-10T16:01:00+02:00 Bucharest,24°C
2025-01-10T16:15:00+02:00 Bucharest,24°C
2025-01-10T16:30:00+02:00 Bucharest,24°C
2025-01-10T16:31:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T16:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T17:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T17:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T17:30:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T17:45:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T18:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-10T18:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-10T18:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-10T18:40:18+02:00 Bucharest,23.700000762939453°C
2025-01-10T18:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-10T19:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-10T19:10:18+02:00 Bucharest,24.200000762939453°C
2025-01-10T19:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T19:20:18+02:00 Bucharest,24.5°C
2025-01-10T19:30:00+02:00 Bucharest,24.5°C
2025-01-10T19:45:00+02:00 Bucharest,24.5°C
2025-01-10T19:50:18+02:00 Bucharest,25.100000381469727°C
2025-01-10T20:00:00+02:00 Bucharest,25.100000381469727°C
2025-01-10T20:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-10T20:30:00+02:00 Bucharest,25.100000381469727°C
2025-01-10T20:45:00+02:00 Bucharest,25.100000381469727°C
2025-01-10T21:00:00+02:00 Bucharest,25.100000381469727°C
2025-01-10T21:01:00+02:00 Bucharest,24.899999618530273°C
2025-01-10T21:15:00+02:00 Bucharest,24.899999618530273°C
2025-01-10T21:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-10T21:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-10T21:50:17+02:00 Bucharest,24.5°C
2025-01-10T22:00:00+02:00 Bucharest,24.5°C
2025-01-10T22:01:00+02:00 Bucharest,24.399999618530273°C
2025-01-10T22:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-10T22:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-10T22:40:18+02:00 Bucharest,24.200000762939453°C
2025-01-10T22:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T23:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T23:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T23:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-10T23:31:00+02:00 Bucharest,24°C
2025-01-10T23:45:00+02:00 Bucharest,24°C
2025-01-11T00:00:00+02:00 Bucharest,24°C
2025-01-11T00:01:00+02:00 Bucharest,23.899999618530273°C
2025-01-11T00:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-11T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-11T00:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-11T00:50:17+02:00 Bucharest,24.299999237060547°C
2025-01-11T01:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T01:01:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T01:10:18+02:00 Bucharest,25°C
2025-01-11T01:15:00+02:00 Bucharest,25°C
2025-01-11T01:30:00+02:00 Bucharest,25°C
2025-01-11T01:31:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T01:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T02:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T02:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T02:20:18+02:00 Bucharest,25°C
2025-01-11T02:30:00+02:00 Bucharest,25°C
2025-01-11T02:40:17+02:00 Bucharest,24.899999618530273°C
2025-01-11T02:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T03:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T03:10:17+02:00 Bucharest,24.700000762939453°C
2025-01-11T03:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T03:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-11T03:40:18+02:00 Bucharest,24.5°C
2025-01-11T03:45:00+02:00 Bucharest,24.5°C
2025-01-11T04:00:00+02:00 Bucharest,24.5°C
2025-01-11T04:10:18+02:00 Bucharest,24.299999237060547°C
2025-01-11T04:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T04:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T04:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T05:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T05:01:00+02:00 Bucharest,24.100000381469727°C
2025-01-11T05:10:18+02:00 Bucharest,24°C
2025-01-11T05:15:00+02:00 Bucharest,24°C
2025-01-11T05:30:00+02:00 Bucharest,24°C
2025-01-11T05:31:00+02:00 Bucharest,23.899999618530273°C
2025-01-11T05:40:17+02:00 Bucharest,24°C
2025-01-11T05:45:00+02:00 Bucharest,24°C
2025-01-11T06:00:00+02:00 Bucharest,24°C
2025-01-11T06:01:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T06:15:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T06:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T06:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T06:50:17+02:00 Bucharest,25.200000762939453°C
2025-01-11T07:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T07:15:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T07:20:17+02:00 Bucharest,25°C
2025-01-11T07:30:00+02:00 Bucharest,25°C
2025-01-11T07:45:00+02:00 Bucharest,25°C
2025-01-11T08:00:00+02:00 Bucharest,25°C
2025-01-11T08:15:00+02:00 Bucharest,25°C
2025-01-11T08:30:00+02:00 Bucharest,25°C
2025-01-11T08:45:00+02:00 Bucharest,25°C
2025-01-11T08:50:18+02:00 Bucharest,24.399999618530273°C
2025-01-11T09:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T09:10:17+02:00 Bucharest,24.200000762939453°C
2025-01-11T09:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T09:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T09:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T09:50:17+02:00 Bucharest,24°C
2025-01-11T10:00:00+02:00 Bucharest,24°C
2025-01-11T10:15:00+02:00 Bucharest,24°C
2025-01-11T10:30:00+02:00 Bucharest,24°C
2025-01-11T10:31:00+02:00 Bucharest,24.600000381469727°C
2025-01-11T10:40:18+02:00 Bucharest,25°C
2025-01-11T10:45:00+02:00 Bucharest,25°C
2025-01-11T11:00:00+02:00 Bucharest,25°C
2025-01-11T11:01:00+02:00 Bucharest,25.5°C
2025-01-11T11:15:00+02:00 Bucharest,25.5°C
2025-01-11T11:30:00+02:00 Bucharest,25.5°C
2025-01-11T11:31:00+02:00 Bucharest,25.700000762939453°C
2025-01-11T11:45:00+02:00 Bucharest,25.700000762939453°C
2025-01-11T12:00:00+02:00 Bucharest,25.600000381469727°C
2025-01-11T12:15:00+02:00 Bucharest,25.600000381469727°C
2025-01-11T12:30:00+02:00 Bucharest,25.600000381469727°C
2025-01-11T12:31:00+02:00 Bucharest,25.299999237060547°C
2025-01-11T12:40:17+02:00 Bucharest,25.200000762939453°C
2025-01-11T12:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T13:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T13:01:00+02:00 Bucharest,25°C
2025-01-11T13:10:18+02:00 Bucharest,24.899999618530273°C
2025-01-11T13:15:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T13:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T13:31:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T13:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T14:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-11T14:01:00+02:00 Bucharest,24.5°C
2025-01-11T14:15:00+02:00 Bucharest,24.5°C
2025-01-11T14:20:18+02:00 Bucharest,24.399999618530273°C
2025-01-11T14:30:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T14:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T15:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T15:01:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T15:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-11T15:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-11T15:31:00+02:00 Bucharest,24°C
2025-01-11T15:45:00+02:00 Bucharest,24°C
2025-01-11T15:50:17+02:00 Bucharest,23.899999618530273°C
2025-01-11T16:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-11T16:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-11T16:20:17+02:00 Bucharest,24°C
2025-01-11T16:30:00+02:00 Bucharest,24°C
2025-01-11T16:31:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T16:45:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T17:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T17:15:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T17:20:17+02:00 Bucharest,25.399999618530273°C
2025-01-11T17:30:00+02:00 Bucharest,25.399999618530273°C
2025-01-11T17:45:00+02:00 Bucharest,25.299999237060547°C
2025-01-11T18:00:00+02:00 Bucharest,25.299999237060547°C
2025-01-11T18:10:17+02:00 Bucharest,25.100000381469727°C
2025-01-11T18:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T18:30:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T18:45:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T19:00:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T19:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T19:30:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T19:31:00+02:00 Bucharest,24.399999618530273°C
2025-01-11T19:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T20:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-11T20:01:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T20:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T20:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T20:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T21:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-11T21:01:00+02:00 Bucharest,24.5°C
2025-01-11T21:10:17+02:00 Bucharest,24.799999237060547°C
2025-01-11T21:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-11T21:30:00+02:00 Bucharest,24.799999237060547°C
2025-01-11T21:31:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T21:45:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T22:00:00+02:00 Bucharest,25.200000762939453°C
2025-01-11T22:15:00+02:00 Bucharest,25.100000381469727°C
2025-01-11T22:20:17+02:00 Bucharest,25°C
2025-01-11T22:30:00+02:00 Bucharest,25°C
2025-01-11T22:31:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T22:45:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T23:00:00+02:00 Bucharest,24.899999618530273°C
2025-01-11T23:10:18+02:00 Bucharest,24.600000381469727°C
2025-01-11T23:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-11T23:20:17+02:00 Bucharest,24.5°C
2025-01-11T23:30:00+02:00 Bucharest,24.5°C
2025-01-11T23:40:17+02:00 Bucharest,24.299999237060547°C
2025-01-11T23:45:00+02:00 Bucharest,24.299999237060547°C
2025-01-12T00:00:00+02:00 Bucharest,24.299999237060547°C
2025-01-12T00:01:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T00:15:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T00:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T00:31:00+02:00 Bucharest,24°C
2025-01-12T00:45:00+02:00 Bucharest,24°C
2025-01-12T00:50:17+02:00 Bucharest,24.399999618530273°C
2025-01-12T01:00:00+02:00 Bucharest,24.399999618530273°C
2025-01-12T01:01:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T01:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T01:20:17+02:00 Bucharest,25°C
2025-01-12T01:30:00+02:00 Bucharest,25°C
2025-01-12T01:45:00+02:00 Bucharest,25°C
2025-01-12T02:00:00+02:00 Bucharest,25°C
2025-01-12T02:01:00+02:00 Bucharest,24.899999618530273°C
2025-01-12T02:15:00+02:00 Bucharest,24.799999237060547°C
2025-01-12T02:20:17+02:00 Bucharest,24.700000762939453°C
2025-01-12T02:30:00+02:00 Bucharest,24.700000762939453°C
2025-01-12T02:45:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T03:00:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T03:10:17+02:00 Bucharest,24.299999237060547°C
2025-01-12T03:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-12T03:30:00+02:00 Bucharest,24.299999237060547°C
2025-01-12T03:31:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T03:40:17+02:00 Bucharest,24°C
2025-01-12T03:45:00+02:00 Bucharest,24°C
2025-01-12T04:00:00+02:00 Bucharest,24°C
2025-01-12T04:15:00+02:00 Bucharest,24°C
2025-01-12T04:20:17+02:00 Bucharest,23.799999237060547°C
2025-01-12T04:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T04:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T05:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T05:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T05:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T05:40:17+02:00 Bucharest,25°C
2025-01-12T05:45:00+02:00 Bucharest,25°C
2025-01-12T06:00:00+02:00 Bucharest,25°C
2025-01-12T06:10:17+02:00 Bucharest,24.899999618530273°C
2025-01-12T06:15:00+02:00 Bucharest,24.899999618530273°C
2025-01-12T06:30:00+02:00 Bucharest,24.899999618530273°C
2025-01-12T06:31:00+02:00 Bucharest,24.700000762939453°C
2025-01-12T06:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-12T06:50:17+02:00 Bucharest,24.5°C
2025-01-12T07:00:00+02:00 Bucharest,24.5°C
2025-01-12T07:15:00+02:00 Bucharest,24.5°C
2025-01-12T07:30:00+02:00 Bucharest,24.5°C
2025-01-12T07:31:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T07:40:17+02:00 Bucharest,24°C
2025-01-12T07:45:00+02:00 Bucharest,24°C
2025-01-12T08:00:00+02:00 Bucharest,24°C
2025-01-12T08:01:00+02:00 Bucharest,23.899999618530273°C
2025-01-12T08:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T08:20:17+02:00 Bucharest,23.700000762939453°C
2025-01-12T08:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-12T08:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-12T09:00:00+02:00 Bucharest,23.700000762939453°C
2025-01-12T09:01:00+02:00 Bucharest,23.5°C
2025-01-12T09:15:00+02:00 Bucharest,23.5°C
2025-01-12T09:20:16+02:00 Bucharest,23.299999237060547°C
2025-01-12T09:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T09:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T10:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T10:01:00+02:00 Bucharest,23.100000381469727°C
2025-01-12T10:15:00+02:00 Bucharest,23.100000381469727°C
2025-01-12T10:30:00+02:00 Bucharest,23.100000381469727°C
2025-01-12T10:31:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T10:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T10:50:17+02:00 Bucharest,24°C
2025-01-12T11:00:00+02:00 Bucharest,24°C
2025-01-12T11:01:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T11:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T11:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T11:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T12:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T12:10:17+02:00 Bucharest,24.299999237060547°C
2025-01-12T12:15:00+02:00 Bucharest,24.299999237060547°C
2025-01-12T12:20:16+02:00 Bucharest,24.200000762939453°C
2025-01-12T12:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T12:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T13:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-12T13:01:00+02:00 Bucharest,24°C
2025-01-12T13:15:00+02:00 Bucharest,24°C
2025-01-12T13:30:00+02:00 Bucharest,24°C
2025-01-12T13:31:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T13:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T14:00:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T14:01:00+02:00 Bucharest,23.600000381469727°C
2025-01-12T14:10:17+02:00 Bucharest,23.5°C
2025-01-12T14:15:00+02:00 Bucharest,23.5°C
2025-01-12T14:30:00+02:00 Bucharest,23.5°C
2025-01-12T14:31:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T14:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T15:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T15:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T15:30:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T15:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T16:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T16:01:00+02:00 Bucharest,23°C
2025-01-12T16:15:00+02:00 Bucharest,23°C
2025-01-12T16:30:00+02:00 Bucharest,23°C
2025-01-12T16:45:00+02:00 Bucharest,23°C
2025-01-12T17:00:00+02:00 Bucharest,23°C
2025-01-12T17:01:00+02:00 Bucharest,23.5°C
2025-01-12T17:15:00+02:00 Bucharest,23.5°C
2025-01-12T17:20:17+02:00 Bucharest,24.200000762939453°C
2025-01-12T17:30:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T17:40:17+02:00 Bucharest,24.700000762939453°C
2025-01-12T17:45:00+02:00 Bucharest,24.700000762939453°C
2025-01-12T18:00:00+02:00 Bucharest,24.700000762939453°C
2025-01-12T18:15:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T18:30:00+02:00 Bucharest,24.600000381469727°C
2025-01-12T18:40:17+02:00 Bucharest,24.200000762939453°C
2025-01-12T18:45:00+02:00 Bucharest,24.200000762939453°C
2025-01-12T18:50:17+02:00 Bucharest,24°C
2025-01-12T19:00:00+02:00 Bucharest,24°C
2025-01-12T19:01:00+02:00 Bucharest,23.899999618530273°C
2025-01-12T19:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T19:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T19:31:00+02:00 Bucharest,23.5°C
2025-01-12T19:40:17+02:00 Bucharest,23.399999618530273°C
2025-01-12T19:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T20:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T20:15:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T20:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T20:45:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T21:00:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T21:01:00+02:00 Bucharest,23.5°C
2025-01-12T21:10:17+02:00 Bucharest,23.399999618530273°C
2025-01-12T21:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T21:30:00+02:00 Bucharest,23.399999618530273°C
2025-01-12T21:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T22:00:00+02:00 Bucharest,23.299999237060547°C
2025-01-12T22:01:00+02:00 Bucharest,22.899999618530273°C
2025-01-12T22:15:00+02:00 Bucharest,22.899999618530273°C
2025-01-12T22:20:17+02:00 Bucharest,22.700000762939453°C
2025-01-12T22:30:00+02:00 Bucharest,22.700000762939453°C
2025-01-12T22:45:00+02:00 Bucharest,22.700000762939453°C
2025-01-12T23:00:00+02:00 Bucharest,22.700000762939453°C
2025-01-12T23:01:00+02:00 Bucharest,23.600000381469727°C
2025-01-12T23:10:16+02:00 Bucharest,23.799999237060547°C
2025-01-12T23:15:00+02:00 Bucharest,23.799999237060547°C
2025-01-12T23:20:17+02:00 Bucharest,24°C
2025-01-12T23:30:00+02:00 Bucharest,24°C
2025-01-12T23:40:16+02:00 Bucharest,24.100000381469727°C
2025-01-12T23:45:00+02:00 Bucharest,24.100000381469727°C
2025-01-13T00:00:00+02:00 Bucharest,24.100000381469727°C
2025-01-13T00:10:17+02:00 Bucharest,23.899999618530273°C
2025-01-13T00:15:00+02:00 Bucharest,23.899999618530273°C
2025-01-13T00:30:00+02:00 Bucharest,23.799999237060547°C
2025-01-13T00:45:00+02:00 Bucharest,23.799999237060547°C
2025-01-13T00:50:16+02:00 Bucharest,23.5°C
2025-01-13T01:00:00+02:00 Bucharest,23.5°C
2025-01-13T01:15:00+02:00 Bucharest,23.5°C
2025-01-13T01:20:17+02:00 Bucharest,23.200000762939453°C
2025-01-13T01:30:00+02:00 Bucharest,23.200000762939453°C
2025-01-13T01:45:00+02:00 Bucharest,23.200000762939453°C
2025-01-13T02:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-13T02:01:00+02:00 Bucharest,23°C
2025-01-13T02:15:00+02:00 Bucharest,23°C
2025-01-13T02:30:00+02:00 Bucharest,23°C
2025-01-13T02:45:00+02:00 Bucharest,23°C
2025-01-13T02:50:17+02:00 Bucharest,22.799999237060547°C
2025-01-13T03:00:00+02:00 Bucharest,22.799999237060547°C
2025-01-13T03:10:17+02:00 Bucharest,23.399999618530273°C
2025-01-13T03:15:00+02:00 Bucharest,23.399999618530273°C
2025-01-13T03:20:16+02:00 Bucharest,23.700000762939453°C
2025-01-13T03:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-13T03:45:00+02:00 Bucharest,23.700000762939453°C
2025-01-13T03:50:16+02:00 Bucharest,24.200000762939453°C
2025-01-13T04:00:00+02:00 Bucharest,24.200000762939453°C
2025-01-13T04:15:00+02:00 Bucharest,24.200000762939453°C
2025-01-13T04:30:00+02:00 Bucharest,24.100000381469727°C
2025-01-13T04:40:17+02:00 Bucharest,24°C
2025-01-13T04:45:00+02:00 Bucharest,24°C
2025-01-13T04:50:17+02:00 Bucharest,23.899999618530273°C
2025-01-13T05:00:00+02:00 Bucharest,23.899999618530273°C
2025-01-13T05:10:16+02:00 Bucharest,23.700000762939453°C
2025-01-13T05:15:00+02:00 Bucharest,23.700000762939453°C
2025-01-13T05:30:00+02:00 Bucharest,23.700000762939453°C
2025-01-13T05:31:00+02:00 Bucharest,23.399999618530273°C
2025-01-13T05:45:00+02:00 Bucharest,23.299999237060547°C
2025-01-13T05:50:17+02:00 Bucharest,23.200000762939453°C
2025-01-13T06:00:00+02:00 Bucharest,23.200000762939453°C
2025-01-13T06:10:17+02:00 Bucharest,23°C
2025-01-13T06:15:00+02:00 Bucharest,23°C
2025-01-13T06:30:00+02:00 Bucharest,23°C
2025-01-13T06:31:00+02:00 Bucharest,23.5°C
2025-01-13T06:45:00+02:00 Bucharest,23.5°C
2025-01-13T07:00:00+02:00 Bucharest,23.5°C
