ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:46:51.78Z hisSize:51917 tz:"Bucharest" precision:1 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint his id:@p:linkEdge:r:2d997a3d-7836afaf "Site B Room 4 Living AQ Temperature" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:45:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"°C" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" curStatus:"ok" point curVal:25.2°C disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"Temperature" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" temp hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:0.1 lorawanCur:"temperature" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:temperature"
2025-02-14T11:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T11:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T11:42:27+02:00 Bucharest,24°C
2025-02-14T11:45:00+02:00 Bucharest,24°C
2025-02-14T12:00:00+02:00 Bucharest,24°C
2025-02-14T12:15:00+02:00 Bucharest,24°C
2025-02-14T12:30:00+02:00 Bucharest,24°C
2025-02-14T12:45:00+02:00 Bucharest,24°C
2025-02-14T12:52:25+02:00 Bucharest,24.100000381469727°C
2025-02-14T13:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T13:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T13:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-14T13:45:00+02:00 Bucharest,24.200000762939453°C
2025-02-14T14:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-14T14:02:24+02:00 Bucharest,24.299999237060547°C
2025-02-14T14:15:00+02:00 Bucharest,24.299999237060547°C
2025-02-14T14:30:00+02:00 Bucharest,24.299999237060547°C
2025-02-14T14:45:00+02:00 Bucharest,24.399999618530273°C
2025-02-14T15:00:00+02:00 Bucharest,24.399999618530273°C
2025-02-14T15:15:00+02:00 Bucharest,24.399999618530273°C
2025-02-14T15:30:00+02:00 Bucharest,24.399999618530273°C
2025-02-14T15:45:00+02:00 Bucharest,24.299999237060547°C
2025-02-14T16:00:00+02:00 Bucharest,24.299999237060547°C
2025-02-14T16:15:00+02:00 Bucharest,24.299999237060547°C
2025-02-14T16:22:22+02:00 Bucharest,24.200000762939453°C
2025-02-14T16:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-14T16:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T17:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-14T17:12:21+02:00 Bucharest,24°C
2025-02-14T17:15:00+02:00 Bucharest,24°C
2025-02-14T17:30:00+02:00 Bucharest,24°C
2025-02-14T17:32:20+02:00 Bucharest,23.899999618530273°C
2025-02-14T17:45:00+02:00 Bucharest,23.899999618530273°C
2025-02-14T18:00:00+02:00 Bucharest,23.899999618530273°C
2025-02-14T18:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T18:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T18:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T19:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T19:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T19:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-14T19:42:18+02:00 Bucharest,23.700000762939453°C
2025-02-14T19:45:00+02:00 Bucharest,23.700000762939453°C
2025-02-14T20:00:00+02:00 Bucharest,23.700000762939453°C
2025-02-14T20:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-14T20:30:00+02:00 Bucharest,23.600000381469727°C
2025-02-14T20:32:17+02:00 Bucharest,23.5°C
2025-02-14T20:45:00+02:00 Bucharest,23.5°C
2025-02-14T21:00:00+02:00 Bucharest,23.5°C
2025-02-14T21:02:17+02:00 Bucharest,23.399999618530273°C
2025-02-14T21:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-14T21:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-14T21:32:16+02:00 Bucharest,23.200000762939453°C
2025-02-14T21:45:00+02:00 Bucharest,23.200000762939453°C
2025-02-14T22:00:00+02:00 Bucharest,23.100000381469727°C
2025-02-14T22:02:16+02:00 Bucharest,23°C
2025-02-14T22:12:15+02:00 Bucharest,23.100000381469727°C
2025-02-14T22:15:00+02:00 Bucharest,23.100000381469727°C
2025-02-14T22:30:00+02:00 Bucharest,23.100000381469727°C
2025-02-14T22:45:00+02:00 Bucharest,23.200000762939453°C
2025-02-14T22:52:15+02:00 Bucharest,23.299999237060547°C
2025-02-14T23:00:00+02:00 Bucharest,23.299999237060547°C
2025-02-14T23:12:14+02:00 Bucharest,23.5°C
2025-02-14T23:15:00+02:00 Bucharest,23.5°C
2025-02-14T23:22:14+02:00 Bucharest,23.600000381469727°C
2025-02-14T23:30:00+02:00 Bucharest,23.600000381469727°C
2025-02-14T23:42:14+02:00 Bucharest,23.799999237060547°C
2025-02-14T23:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T00:00:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T00:02:14+02:00 Bucharest,24°C
2025-02-15T00:12:13+02:00 Bucharest,24.100000381469727°C
2025-02-15T00:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T00:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T00:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T01:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T01:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T01:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T01:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T01:52:12+02:00 Bucharest,24°C
2025-02-15T02:00:00+02:00 Bucharest,24°C
2025-02-15T02:15:00+02:00 Bucharest,24°C
2025-02-15T02:22:11+02:00 Bucharest,23.899999618530273°C
2025-02-15T02:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T02:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T03:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T03:02:10+02:00 Bucharest,23.700000762939453°C
2025-02-15T03:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T03:30:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T03:32:10+02:00 Bucharest,23.5°C
2025-02-15T03:42:10+02:00 Bucharest,23.399999618530273°C
2025-02-15T03:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T04:00:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T04:15:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T04:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T04:32:09+02:00 Bucharest,23.200000762939453°C
2025-02-15T04:45:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T05:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T05:02:08+02:00 Bucharest,23.299999237060547°C
2025-02-15T05:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T05:30:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T05:32:08+02:00 Bucharest,23.600000381469727°C
2025-02-15T05:45:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T05:52:07+02:00 Bucharest,23.799999237060547°C
2025-02-15T06:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T06:12:07+02:00 Bucharest,24°C
2025-02-15T06:15:00+02:00 Bucharest,24°C
2025-02-15T06:22:07+02:00 Bucharest,24.100000381469727°C
2025-02-15T06:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T06:45:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T07:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T07:15:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T07:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T07:45:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T08:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T08:15:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T08:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T08:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T09:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T09:02:04+02:00 Bucharest,24°C
2025-02-15T09:15:00+02:00 Bucharest,24°C
2025-02-15T09:22:04+02:00 Bucharest,23.899999618530273°C
2025-02-15T09:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T09:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T10:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T10:12:03+02:00 Bucharest,23.700000762939453°C
2025-02-15T10:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T10:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T10:42:02+02:00 Bucharest,23.5°C
2025-02-15T10:45:00+02:00 Bucharest,23.5°C
2025-02-15T11:00:00+02:00 Bucharest,23.5°C
2025-02-15T11:02:02+02:00 Bucharest,23.399999618530273°C
2025-02-15T11:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T11:30:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T11:42:01+02:00 Bucharest,23.200000762939453°C
2025-02-15T11:45:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T12:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T12:12:01+02:00 Bucharest,23.299999237060547°C
2025-02-15T12:15:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T12:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T12:42:00+02:00 Bucharest,23.5°C
2025-02-15T12:45:00+02:00 Bucharest,23.5°C
2025-02-15T12:52:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T13:00:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T13:12:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T13:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T13:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T13:31:59+02:00 Bucharest,24°C
2025-02-15T13:41:59+02:00 Bucharest,24.100000381469727°C
2025-02-15T13:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T14:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T14:15:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T14:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T14:45:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T15:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-15T15:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T15:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T15:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-15T15:51:57+02:00 Bucharest,24°C
2025-02-15T16:00:00+02:00 Bucharest,24°C
2025-02-15T16:01:57+02:00 Bucharest,23.899999618530273°C
2025-02-15T16:15:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T16:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-15T16:41:56+02:00 Bucharest,23.700000762939453°C
2025-02-15T16:45:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T17:00:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T17:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T17:21:55+02:00 Bucharest,23.5°C
2025-02-15T17:30:00+02:00 Bucharest,23.5°C
2025-02-15T17:31:55+02:00 Bucharest,23.399999618530273°C
2025-02-15T17:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T18:00:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T18:01:55+02:00 Bucharest,23.200000762939453°C
2025-02-15T18:15:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T18:30:00+02:00 Bucharest,23.100000381469727°C
2025-02-15T18:41:54+02:00 Bucharest,23°C
2025-02-15T18:45:00+02:00 Bucharest,23°C
2025-02-15T19:00:00+02:00 Bucharest,23°C
2025-02-15T19:01:53+02:00 Bucharest,23.100000381469727°C
2025-02-15T19:15:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T19:30:00+02:00 Bucharest,23.200000762939453°C
2025-02-15T19:31:53+02:00 Bucharest,23.299999237060547°C
2025-02-15T19:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T19:51:52+02:00 Bucharest,23.5°C
2025-02-15T20:00:00+02:00 Bucharest,23.5°C
2025-02-15T20:11:52+02:00 Bucharest,23.600000381469727°C
2025-02-15T20:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T20:30:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T20:45:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T20:51:52+02:00 Bucharest,23.799999237060547°C
2025-02-15T21:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T21:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T21:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T21:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T22:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-15T22:11:50+02:00 Bucharest,23.700000762939453°C
2025-02-15T22:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T22:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-15T22:45:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T23:00:00+02:00 Bucharest,23.600000381469727°C
2025-02-15T23:01:49+02:00 Bucharest,23.5°C
2025-02-15T23:11:49+02:00 Bucharest,23.399999618530273°C
2025-02-15T23:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T23:30:00+02:00 Bucharest,23.399999618530273°C
2025-02-15T23:45:00+02:00 Bucharest,23.299999237060547°C
2025-02-15T23:51:48+02:00 Bucharest,23.200000762939453°C
2025-02-16T00:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T00:15:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T00:30:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T00:41:47+02:00 Bucharest,23.299999237060547°C
2025-02-16T00:45:00+02:00 Bucharest,23.299999237060547°C
2025-02-16T01:00:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T01:01:47+02:00 Bucharest,23.5°C
2025-02-16T01:11:47+02:00 Bucharest,23.600000381469727°C
2025-02-16T01:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T01:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T01:31:47+02:00 Bucharest,23.799999237060547°C
2025-02-16T01:45:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T02:00:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T02:01:46+02:00 Bucharest,24°C
2025-02-16T02:15:00+02:00 Bucharest,24°C
2025-02-16T02:21:46+02:00 Bucharest,24.100000381469727°C
2025-02-16T02:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T02:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T03:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T03:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T03:21:45+02:00 Bucharest,24°C
2025-02-16T03:30:00+02:00 Bucharest,24°C
2025-02-16T03:41:44+02:00 Bucharest,23.899999618530273°C
2025-02-16T03:45:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T04:00:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T04:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T04:21:44+02:00 Bucharest,23.700000762939453°C
2025-02-16T04:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T04:45:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T04:51:43+02:00 Bucharest,23.5°C
2025-02-16T05:00:00+02:00 Bucharest,23.5°C
2025-02-16T05:11:43+02:00 Bucharest,23.399999618530273°C
2025-02-16T05:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T05:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-16T05:41:42+02:00 Bucharest,23.200000762939453°C
2025-02-16T05:45:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T06:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T06:15:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T06:30:00+02:00 Bucharest,23.200000762939453°C
2025-02-16T06:31:41+02:00 Bucharest,23.299999237060547°C
2025-02-16T06:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T06:51:41+02:00 Bucharest,23.5°C
2025-02-16T07:00:00+02:00 Bucharest,23.5°C
2025-02-16T07:01:41+02:00 Bucharest,23.600000381469727°C
2025-02-16T07:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T07:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T07:31:40+02:00 Bucharest,23.799999237060547°C
2025-02-16T07:45:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T07:51:40+02:00 Bucharest,24°C
2025-02-16T08:00:00+02:00 Bucharest,24°C
2025-02-16T08:11:40+02:00 Bucharest,24.100000381469727°C
2025-02-16T08:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T08:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T08:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T09:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T09:11:38+02:00 Bucharest,24°C
2025-02-16T09:15:00+02:00 Bucharest,24°C
2025-02-16T09:30:00+02:00 Bucharest,24°C
2025-02-16T09:45:00+02:00 Bucharest,24°C
2025-02-16T09:51:38+02:00 Bucharest,23.899999618530273°C
2025-02-16T10:00:00+02:00 Bucharest,23.899999618530273°C
2025-02-16T10:15:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T10:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T10:31:37+02:00 Bucharest,23.700000762939453°C
2025-02-16T10:45:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T11:00:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T11:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T11:21:36+02:00 Bucharest,23.299999237060547°C
2025-02-16T11:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-16T11:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T12:00:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T12:01:35+02:00 Bucharest,23.600000381469727°C
2025-02-16T12:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T12:21:35+02:00 Bucharest,23.799999237060547°C
2025-02-16T12:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T12:41:35+02:00 Bucharest,24°C
2025-02-16T12:45:00+02:00 Bucharest,24°C
2025-02-16T13:00:00+02:00 Bucharest,24°C
2025-02-16T13:01:34+02:00 Bucharest,24.200000762939453°C
2025-02-16T13:11:34+02:00 Bucharest,24.299999237060547°C
2025-02-16T13:15:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T13:30:00+02:00 Bucharest,24.399999618530273°C
2025-02-16T13:45:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T14:00:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T14:15:00+02:00 Bucharest,24.399999618530273°C
2025-02-16T14:21:33+02:00 Bucharest,24.600000381469727°C
2025-02-16T14:30:00+02:00 Bucharest,24.600000381469727°C
2025-02-16T14:45:00+02:00 Bucharest,24.600000381469727°C
2025-02-16T15:00:00+02:00 Bucharest,24.600000381469727°C
2025-02-16T15:11:32+02:00 Bucharest,24.5°C
2025-02-16T15:15:00+02:00 Bucharest,24.5°C
2025-02-16T15:21:32+02:00 Bucharest,24.399999618530273°C
2025-02-16T15:30:00+02:00 Bucharest,24.399999618530273°C
2025-02-16T15:45:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T15:51:31+02:00 Bucharest,24.200000762939453°C
2025-02-16T16:00:00+02:00 Bucharest,24.200000762939453°C
2025-02-16T16:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T16:21:31+02:00 Bucharest,24°C
2025-02-16T16:30:00+02:00 Bucharest,24°C
2025-02-16T16:31:31+02:00 Bucharest,23.899999618530273°C
2025-02-16T16:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T17:00:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T17:11:30+02:00 Bucharest,23.700000762939453°C
2025-02-16T17:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T17:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T17:45:00+02:00 Bucharest,23.600000381469727°C
2025-02-16T17:51:29+02:00 Bucharest,23.5°C
2025-02-16T18:00:00+02:00 Bucharest,23.5°C
2025-02-16T18:15:00+02:00 Bucharest,23.5°C
2025-02-16T18:30:00+02:00 Bucharest,23.5°C
2025-02-16T18:45:00+02:00 Bucharest,23.5°C
2025-02-16T18:51:28+02:00 Bucharest,23.399999618530273°C
2025-02-16T19:00:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T19:15:00+02:00 Bucharest,23.299999237060547°C
2025-02-16T19:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-16T19:31:28+02:00 Bucharest,23.200000762939453°C
2025-02-16T19:45:00+02:00 Bucharest,23.100000381469727°C
2025-02-16T20:00:00+02:00 Bucharest,23.100000381469727°C
2025-02-16T20:15:00+02:00 Bucharest,23.100000381469727°C
2025-02-16T20:30:00+02:00 Bucharest,23.100000381469727°C
2025-02-16T20:41:26+02:00 Bucharest,23.399999618530273°C
2025-02-16T20:45:00+02:00 Bucharest,23.399999618530273°C
2025-02-16T20:51:26+02:00 Bucharest,23.5°C
2025-02-16T21:00:00+02:00 Bucharest,23.5°C
2025-02-16T21:01:26+02:00 Bucharest,23.600000381469727°C
2025-02-16T21:15:00+02:00 Bucharest,23.700000762939453°C
2025-02-16T21:21:26+02:00 Bucharest,23.799999237060547°C
2025-02-16T21:30:00+02:00 Bucharest,23.799999237060547°C
2025-02-16T21:41:25+02:00 Bucharest,24°C
2025-02-16T21:45:00+02:00 Bucharest,24°C
2025-02-16T21:51:25+02:00 Bucharest,24.100000381469727°C
2025-02-16T22:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-16T22:15:00+02:00 Bucharest,24.200000762939453°C
2025-02-16T22:30:00+02:00 Bucharest,24.200000762939453°C
2025-02-16T22:41:24+02:00 Bucharest,24.299999237060547°C
2025-02-16T22:45:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T23:00:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T23:15:00+02:00 Bucharest,24.399999618530273°C
2025-02-16T23:30:00+02:00 Bucharest,24.299999237060547°C
2025-02-16T23:41:23+02:00 Bucharest,24.200000762939453°C
2025-02-16T23:45:00+02:00 Bucharest,24.200000762939453°C
2025-02-17T00:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T00:11:23+02:00 Bucharest,24°C
2025-02-17T00:15:00+02:00 Bucharest,24°C
2025-02-17T00:21:22+02:00 Bucharest,23.899999618530273°C
2025-02-17T00:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-17T00:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-17T00:51:22+02:00 Bucharest,23.700000762939453°C
2025-02-17T01:00:00+02:00 Bucharest,23.700000762939453°C
2025-02-17T01:11:22+02:00 Bucharest,23.5°C
2025-02-17T01:15:00+02:00 Bucharest,23.5°C
2025-02-17T01:30:00+02:00 Bucharest,23.5°C
2025-02-17T01:31:21+02:00 Bucharest,23.399999618530273°C
2025-02-17T01:45:00+02:00 Bucharest,23.299999237060547°C
2025-02-17T01:51:21+02:00 Bucharest,23.200000762939453°C
2025-02-17T02:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-17T02:15:00+02:00 Bucharest,23.200000762939453°C
2025-02-17T02:30:00+02:00 Bucharest,23.200000762939453°C
2025-02-17T02:41:20+02:00 Bucharest,23.299999237060547°C
2025-02-17T02:45:00+02:00 Bucharest,23.299999237060547°C
2025-02-17T03:00:00+02:00 Bucharest,23.399999618530273°C
2025-02-17T03:01:20+02:00 Bucharest,23.5°C
2025-02-17T03:11:19+02:00 Bucharest,23.600000381469727°C
2025-02-17T03:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-17T03:30:00+02:00 Bucharest,23.700000762939453°C
2025-02-17T03:31:19+02:00 Bucharest,23.799999237060547°C
2025-02-17T03:45:00+02:00 Bucharest,23.899999618530273°C
2025-02-17T03:51:19+02:00 Bucharest,24°C
2025-02-17T04:00:00+02:00 Bucharest,24°C
2025-02-17T04:11:18+02:00 Bucharest,24.100000381469727°C
2025-02-17T04:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T04:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T04:45:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T05:00:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T05:15:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T05:30:00+02:00 Bucharest,24.100000381469727°C
2025-02-17T05:31:17+02:00 Bucharest,24°C
2025-02-17T05:45:00+02:00 Bucharest,24°C
2025-02-17T06:00:00+02:00 Bucharest,24°C
2025-02-17T06:11:16+02:00 Bucharest,23.899999618530273°C
2025-02-17T06:15:00+02:00 Bucharest,23.899999618530273°C
2025-02-17T06:30:00+02:00 Bucharest,23.899999618530273°C
2025-02-17T06:45:00+02:00 Bucharest,23.799999237060547°C
2025-02-17T06:51:16+02:00 Bucharest,23.700000762939453°C
2025-02-17T07:00:00+02:00 Bucharest,23.700000762939453°C
2025-02-17T07:15:00+02:00 Bucharest,23.600000381469727°C
2025-02-17T07:30:00+02:00 Bucharest,23.600000381469727°C
2025-02-17T07:41:15+02:00 Bucharest,23.5°C
2025-02-17T07:45:00+02:00 Bucharest,23.5°C
2025-02-17T08:00:00+02:00 Bucharest,23.5°C
2025-02-17T08:01:14+02:00 Bucharest,23.399999618530273°C
2025-02-17T08:15:00+02:00 Bucharest,23.399999618530273°C
2025-02-17T08:30:00+02:00 Bucharest,23.299999237060547°C
2025-02-17T08:45:00+02:00 Bucharest,23.299999237060547°C
2025-02-17T08:51:13+02:00 Bucharest,23.200000762939453°C
2025-02-17T09:00:00+02:00 Bucharest,23.200000762939453°C
2025-02-17T09:01:13+02:00 Bucharest,23.299999237060547°C
2025-02-17T09:15:00+02:00 Bucharest,23.299999237060547°C
2025-02-17T09:30:00+02:00 Bucharest,23.399999618530273°C
2025-02-17T09:31:13+02:00 Bucharest,23.5°C
2025-02-17T09:41:13+02:00 Bucharest,23.600000381469727°C
2025-02-17T09:45:00+02:00 Bucharest,23.600000381469727°C
2025-02-17T10:00:00+02:00 Bucharest,23.700000762939453°C
2025-02-17T10:01:12+02:00 Bucharest,23.899999618530273°C
2025-02-17T10:11:12+02:00 Bucharest,24°C
2025-02-17T10:15:00+02:00 Bucharest,24°C
2025-02-17T10:30:00+02:00 Bucharest,24°C
2025-02-17T10:31:12+02:00 Bucharest,24.200000762939453°C
2025-02-17T10:41:12+02:00 Bucharest,24.399999618530273°C
2025-02-17T10:45:00+02:00 Bucharest,24.399999618530273°C
2025-02-17T10:51:11+02:00 Bucharest,24.5°C
2025-02-17T11:00:00+02:00 Bucharest,24.5°C
