ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-12T14:44:15.252Z hisSize:81212 tz:"Bucharest" precision:0 roomRef:@p:linkEdge:r:2d996b7e-192811d1 "Site B Room 4 Living" lorawanPoint maxVal:5000 his minVal:400 id:@p:linkEdge:r:2d997a3d-ff70ea0a "Site B Room 4 Living AQ CO2" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T02:51:35+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppm" sensor cur amSensorRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" co2 curStatus:"ok" point curVal:751ppm disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d997a3d-8ce770dd "4 Living AQ" navName:"CO2" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d997a3d-a040140e "Site B Room 4 Living AQ" hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"co2" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983" amSensorAM307ModelId:"_amSensorAM307_point:co2"
2025-01-01T14:45:00+02:00 Bucharest,365ppm
2025-01-01T14:48:26+02:00 Bucharest,435ppm
2025-01-01T15:00:00+02:00 Bucharest,435ppm
2025-01-01T15:15:00+02:00 Bucharest,435ppm
2025-01-01T15:28:25+02:00 Bucharest,557ppm
2025-01-01T15:30:00+02:00 Bucharest,557ppm
2025-01-01T15:38:25+02:00 Bucharest,424ppm
2025-01-01T15:45:00+02:00 Bucharest,424ppm
2025-01-01T15:58:25+02:00 Bucharest,562ppm
2025-01-01T16:00:00+02:00 Bucharest,562ppm
2025-01-01T16:08:25+02:00 Bucharest,611ppm
2025-01-01T16:15:00+02:00 Bucharest,611ppm
2025-01-01T16:28:24+02:00 Bucharest,570ppm
2025-01-01T16:30:00+02:00 Bucharest,570ppm
2025-01-01T16:38:24+02:00 Bucharest,560ppm
2025-01-01T16:45:00+02:00 Bucharest,560ppm
2025-01-01T17:00:00+02:00 Bucharest,560ppm
2025-01-01T17:15:00+02:00 Bucharest,560ppm
2025-01-01T17:18:23+02:00 Bucharest,547ppm
2025-01-01T17:30:00+02:00 Bucharest,547ppm
2025-01-01T17:38:23+02:00 Bucharest,535ppm
2025-01-01T17:45:00+02:00 Bucharest,535ppm
2025-01-01T17:48:23+02:00 Bucharest,530ppm
2025-01-01T18:00:00+02:00 Bucharest,530ppm
2025-01-01T18:15:00+02:00 Bucharest,530ppm
2025-01-01T18:28:22+02:00 Bucharest,520ppm
2025-01-01T18:30:00+02:00 Bucharest,520ppm
2025-01-01T18:38:22+02:00 Bucharest,521ppm
2025-01-01T18:45:00+02:00 Bucharest,521ppm
2025-01-01T18:58:22+02:00 Bucharest,528ppm
2025-01-01T19:00:00+02:00 Bucharest,528ppm
2025-01-01T19:15:00+02:00 Bucharest,528ppm
2025-01-01T19:18:21+02:00 Bucharest,551ppm
2025-01-01T19:28:21+02:00 Bucharest,558ppm
2025-01-01T19:30:00+02:00 Bucharest,558ppm
2025-01-01T19:45:00+02:00 Bucharest,558ppm
2025-01-01T19:48:21+02:00 Bucharest,572ppm
2025-01-01T20:00:00+02:00 Bucharest,572ppm
2025-01-01T20:08:20+02:00 Bucharest,583ppm
2025-01-01T20:15:00+02:00 Bucharest,583ppm
2025-01-01T20:18:20+02:00 Bucharest,590ppm
2025-01-01T20:30:00+02:00 Bucharest,590ppm
2025-01-01T20:45:00+02:00 Bucharest,590ppm
2025-01-01T20:48:20+02:00 Bucharest,612ppm
2025-01-01T20:58:20+02:00 Bucharest,618ppm
2025-01-01T21:00:00+02:00 Bucharest,618ppm
2025-01-01T21:08:19+02:00 Bucharest,625ppm
2025-01-01T21:15:00+02:00 Bucharest,625ppm
2025-01-01T21:30:00+02:00 Bucharest,625ppm
2025-01-01T21:38:19+02:00 Bucharest,633ppm
2025-01-01T21:45:00+02:00 Bucharest,633ppm
2025-01-01T21:58:19+02:00 Bucharest,636ppm
2025-01-01T22:00:00+02:00 Bucharest,636ppm
2025-01-01T22:15:00+02:00 Bucharest,636ppm
2025-01-01T22:18:18+02:00 Bucharest,640ppm
2025-01-01T22:30:00+02:00 Bucharest,640ppm
2025-01-01T22:38:18+02:00 Bucharest,646ppm
2025-01-01T22:45:00+02:00 Bucharest,646ppm
2025-01-01T22:48:18+02:00 Bucharest,647ppm
2025-01-01T23:00:00+02:00 Bucharest,647ppm
2025-01-01T23:15:00+02:00 Bucharest,647ppm
2025-01-01T23:18:17+02:00 Bucharest,655ppm
2025-01-01T23:30:00+02:00 Bucharest,655ppm
2025-01-01T23:38:17+02:00 Bucharest,660ppm
2025-01-01T23:45:00+02:00 Bucharest,660ppm
2025-01-01T23:58:16+02:00 Bucharest,668ppm
2025-01-02T00:00:00+02:00 Bucharest,668ppm
2025-01-02T00:15:00+02:00 Bucharest,668ppm
2025-01-02T00:30:00+02:00 Bucharest,668ppm
2025-01-02T00:38:16+02:00 Bucharest,676ppm
2025-01-02T00:45:00+02:00 Bucharest,676ppm
2025-01-02T01:00:00+02:00 Bucharest,676ppm
2025-01-02T01:15:00+02:00 Bucharest,676ppm
2025-01-02T01:18:15+02:00 Bucharest,683ppm
2025-01-02T01:30:00+02:00 Bucharest,683ppm
2025-01-02T01:45:00+02:00 Bucharest,683ppm
2025-01-02T01:58:14+02:00 Bucharest,682ppm
2025-01-02T02:00:00+02:00 Bucharest,682ppm
2025-01-02T02:08:14+02:00 Bucharest,678ppm
2025-01-02T02:15:00+02:00 Bucharest,678ppm
2025-01-02T02:28:14+02:00 Bucharest,653ppm
2025-01-02T02:30:00+02:00 Bucharest,653ppm
2025-01-02T02:45:00+02:00 Bucharest,653ppm
2025-01-02T02:48:13+02:00 Bucharest,608ppm
2025-01-02T02:58:13+02:00 Bucharest,583ppm
2025-01-02T03:00:00+02:00 Bucharest,583ppm
2025-01-02T03:15:00+02:00 Bucharest,583ppm
2025-01-02T03:18:13+02:00 Bucharest,552ppm
2025-01-02T03:28:13+02:00 Bucharest,546ppm
2025-01-02T03:30:00+02:00 Bucharest,546ppm
2025-01-02T03:38:14+02:00 Bucharest,538ppm
2025-01-02T03:45:00+02:00 Bucharest,538ppm
2025-01-02T03:48:12+02:00 Bucharest,529ppm
2025-01-02T03:58:12+02:00 Bucharest,522ppm
2025-01-02T04:00:00+02:00 Bucharest,522ppm
2025-01-02T04:08:12+02:00 Bucharest,512ppm
2025-01-02T04:15:00+02:00 Bucharest,512ppm
2025-01-02T04:30:00+02:00 Bucharest,512ppm
2025-01-02T04:45:00+02:00 Bucharest,512ppm
2025-01-02T05:00:00+02:00 Bucharest,512ppm
2025-01-02T05:08:11+02:00 Bucharest,474ppm
2025-01-02T05:15:00+02:00 Bucharest,474ppm
2025-01-02T05:18:11+02:00 Bucharest,470ppm
2025-01-02T05:28:11+02:00 Bucharest,461ppm
2025-01-02T05:30:00+02:00 Bucharest,461ppm
2025-01-02T05:45:00+02:00 Bucharest,461ppm
2025-01-02T05:48:10+02:00 Bucharest,452ppm
2025-01-02T06:00:00+02:00 Bucharest,452ppm
2025-01-02T06:08:10+02:00 Bucharest,441ppm
2025-01-02T06:15:00+02:00 Bucharest,441ppm
2025-01-02T06:18:10+02:00 Bucharest,439ppm
2025-01-02T06:28:09+02:00 Bucharest,436ppm
2025-01-02T06:30:00+02:00 Bucharest,436ppm
2025-01-02T06:45:00+02:00 Bucharest,436ppm
2025-01-02T07:00:00+02:00 Bucharest,436ppm
2025-01-02T07:08:09+02:00 Bucharest,418ppm
2025-01-02T07:15:00+02:00 Bucharest,418ppm
2025-01-02T07:28:08+02:00 Bucharest,409ppm
2025-01-02T07:30:00+02:00 Bucharest,409ppm
2025-01-02T07:38:08+02:00 Bucharest,405ppm
2025-01-02T07:45:00+02:00 Bucharest,405ppm
2025-01-02T07:48:08+02:00 Bucharest,404ppm
2025-01-02T07:58:08+02:00 Bucharest,402ppm
2025-01-02T08:00:00+02:00 Bucharest,402ppm
2025-01-02T08:15:00+02:00 Bucharest,402ppm
2025-01-02T08:28:08+02:00 Bucharest,395ppm
2025-01-02T08:30:00+02:00 Bucharest,395ppm
2025-01-02T08:45:00+02:00 Bucharest,395ppm
2025-01-02T08:58:07+02:00 Bucharest,394ppm
2025-01-02T09:00:00+02:00 Bucharest,394ppm
2025-01-02T09:15:00+02:00 Bucharest,394ppm
2025-01-02T09:28:06+02:00 Bucharest,393ppm
2025-01-02T09:30:00+02:00 Bucharest,393ppm
2025-01-02T09:45:00+02:00 Bucharest,393ppm
2025-01-02T10:00:00+02:00 Bucharest,393ppm
2025-01-02T10:08:06+02:00 Bucharest,391ppm
2025-01-02T10:15:00+02:00 Bucharest,391ppm
2025-01-02T10:28:05+02:00 Bucharest,388ppm
2025-01-02T10:30:00+02:00 Bucharest,388ppm
2025-01-02T10:45:00+02:00 Bucharest,388ppm
2025-01-02T10:58:05+02:00 Bucharest,379ppm
2025-01-02T11:00:00+02:00 Bucharest,379ppm
2025-01-02T11:08:05+02:00 Bucharest,378ppm
2025-01-02T11:15:00+02:00 Bucharest,378ppm
2025-01-02T11:30:00+02:00 Bucharest,378ppm
2025-01-02T11:38:04+02:00 Bucharest,377ppm
2025-01-02T11:45:00+02:00 Bucharest,377ppm
2025-01-02T11:48:04+02:00 Bucharest,375ppm
2025-01-02T12:00:00+02:00 Bucharest,375ppm
2025-01-02T12:15:00+02:00 Bucharest,375ppm
2025-01-02T12:30:00+02:00 Bucharest,375ppm
2025-01-02T12:38:03+02:00 Bucharest,372ppm
2025-01-02T12:45:00+02:00 Bucharest,372ppm
2025-01-02T12:58:03+02:00 Bucharest,371ppm
2025-01-02T13:00:00+02:00 Bucharest,371ppm
2025-01-02T13:15:00+02:00 Bucharest,371ppm
2025-01-02T13:30:00+02:00 Bucharest,371ppm
2025-01-02T13:38:02+02:00 Bucharest,369ppm
2025-01-02T13:45:00+02:00 Bucharest,369ppm
2025-01-02T13:58:02+02:00 Bucharest,367ppm
2025-01-02T14:00:00+02:00 Bucharest,367ppm
2025-01-02T14:08:01+02:00 Bucharest,365ppm
2025-01-02T14:15:00+02:00 Bucharest,365ppm
2025-01-02T14:28:01+02:00 Bucharest,361ppm
2025-01-02T14:30:00+02:00 Bucharest,361ppm
2025-01-02T14:45:00+02:00 Bucharest,361ppm
2025-01-02T14:58:01+02:00 Bucharest,375ppm
