ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 cur amSensorRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" mod:2024-04-12T14:42:32.278Z hisSize:81045 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b95-ed5a18fd "Site B Room 3" lorawanPoint curStatus:"ok" amSensorAM107ModelId:"_amSensorAM107_point:tvoc" point his curVal:107ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9ab1c2-71da2caa "3 AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9ab1c2-a2fb47fa "Site B Room 3 AQ" id:@p:linkEdge:r:2d9ab1c2-48217394 "Site B Room 3 AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest airQuality hisStatus:"ok" innLinkEdge kind:"Number" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" unit:"ppb" floorRef:@p:linkEdge:r:2d996b6c-2cc687ba "p:linkEdge:r:2d996b6c-2cc687ba" sensor
2025-01-03T06:15:00+02:00 Bucharest,171ppb
2025-01-03T06:20:02+02:00 Bucharest,161ppb
2025-01-03T06:30:00+02:00 Bucharest,161ppb
2025-01-03T06:45:00+02:00 Bucharest,161ppb
2025-01-03T06:49:49+02:00 Bucharest,224ppb
2025-01-03T07:00:00+02:00 Bucharest,224ppb
2025-01-03T07:15:00+02:00 Bucharest,224ppb
2025-01-03T07:19:49+02:00 Bucharest,218ppb
2025-01-03T07:29:50+02:00 Bucharest,212ppb
2025-01-03T07:30:00+02:00 Bucharest,212ppb
2025-01-03T07:45:00+02:00 Bucharest,212ppb
2025-01-03T08:00:00+02:00 Bucharest,212ppb
2025-01-03T08:10:02+02:00 Bucharest,203ppb
2025-01-03T08:15:00+02:00 Bucharest,203ppb
2025-01-03T08:19:49+02:00 Bucharest,200ppb
2025-01-03T08:30:00+02:00 Bucharest,200ppb
2025-01-03T08:45:00+02:00 Bucharest,200ppb
2025-01-03T08:59:49+02:00 Bucharest,191ppb
2025-01-03T09:00:00+02:00 Bucharest,191ppb
2025-01-03T09:15:00+02:00 Bucharest,191ppb
2025-01-03T09:19:50+02:00 Bucharest,187ppb
2025-01-03T09:29:49+02:00 Bucharest,185ppb
2025-01-03T09:30:00+02:00 Bucharest,185ppb
2025-01-03T09:45:00+02:00 Bucharest,185ppb
2025-01-03T09:50:02+02:00 Bucharest,180ppb
2025-01-03T09:59:50+02:00 Bucharest,187ppb
2025-01-03T10:00:00+02:00 Bucharest,187ppb
2025-01-03T10:09:49+02:00 Bucharest,183ppb
2025-01-03T10:15:00+02:00 Bucharest,183ppb
2025-01-03T10:19:50+02:00 Bucharest,179ppb
2025-01-03T10:30:00+02:00 Bucharest,179ppb
2025-01-03T10:39:49+02:00 Bucharest,178ppb
2025-01-03T10:45:00+02:00 Bucharest,178ppb
2025-01-03T10:59:50+02:00 Bucharest,173ppb
2025-01-03T11:00:00+02:00 Bucharest,173ppb
2025-01-03T11:09:49+02:00 Bucharest,168ppb
2025-01-03T11:15:00+02:00 Bucharest,168ppb
2025-01-03T11:30:00+02:00 Bucharest,168ppb
2025-01-03T11:31:00+02:00 Bucharest,159ppb
2025-01-03T11:45:00+02:00 Bucharest,159ppb
2025-01-03T12:00:00+02:00 Bucharest,159ppb
2025-01-03T12:09:50+02:00 Bucharest,147ppb
2025-01-03T12:15:00+02:00 Bucharest,147ppb
2025-01-03T12:30:00+02:00 Bucharest,147ppb
2025-01-03T12:39:50+02:00 Bucharest,140ppb
2025-01-03T12:45:00+02:00 Bucharest,140ppb
2025-01-03T12:49:50+02:00 Bucharest,136ppb
2025-01-03T13:00:00+02:00 Bucharest,136ppb
2025-01-03T13:10:02+02:00 Bucharest,132ppb
2025-01-03T13:15:00+02:00 Bucharest,132ppb
2025-01-03T13:30:00+02:00 Bucharest,132ppb
2025-01-03T13:39:50+02:00 Bucharest,126ppb
2025-01-03T13:45:00+02:00 Bucharest,126ppb
2025-01-03T14:00:00+02:00 Bucharest,126ppb
2025-01-03T14:09:49+02:00 Bucharest,130ppb
2025-01-03T14:15:00+02:00 Bucharest,130ppb
2025-01-03T14:29:50+02:00 Bucharest,136ppb
2025-01-03T14:30:00+02:00 Bucharest,136ppb
2025-01-03T14:45:00+02:00 Bucharest,136ppb
2025-01-03T14:50:03+02:00 Bucharest,139ppb
2025-01-03T14:59:50+02:00 Bucharest,140ppb
2025-01-03T15:00:00+02:00 Bucharest,140ppb
2025-01-03T15:15:00+02:00 Bucharest,140ppb
2025-01-03T15:19:49+02:00 Bucharest,137ppb
