ver:"3.0" more:T hisLimit:10000 dis:"Mon 1-Jan-2024 to Sun 1-Feb-2026" view:"chart" limit:10000 hisStart:2024-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-02T00:00:00+02:00 Bucharest
ts disKey:"ui::timestamp" tz:"Bucharest" chartFormat:"D-MMM",v0 mod:2024-04-22T21:29:28.198Z hisSize:98251 tz:"Bucharest" roomRef:@p:linkEdge:r:2d996b84-7f20b3bf "Site B Room 1 Office" lorawanPoint maxVal:5 his minVal:1 id:@p:linkEdge:r:2d9972a1-f09bb340 "Site B Room 1 Office AQ TVOC" hisStart:2025-01-01T00:00:00+02:00 Bucharest hisEnd:2026-02-06T03:00:00+02:00 Bucharest innLinkEdge kind:"Number" unit:"ppb" amSensorAM319ModelId:"_amSensorAM319_point:tvoc" sensor cur amSensorRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" curStatus:"ok" point curVal:185ppb disMacro:"\$equipRef \$navName" lorawanConnRef:@p:linkEdge:r:2d9972a1-53363459 "1 Office AQ" navName:"TVOC" hisCollectInterval:15min equipRef:@p:linkEdge:r:2d9972a1-07d784a7 "Site B Room 1 Office AQ" airQuality hisStatus:"ok" siteRef:@p:linkEdge:r:2d996a50-dc9f00bf "Site B Room" hisCollectCov:1 lorawanCur:"tvoc" floorRef:@p:linkEdge:r:2d996b5e-526d9983 "p:linkEdge:r:2d996b5e-526d9983"
2025-01-02T02:00:00+02:00 Bucharest,483ppb
2025-01-02T02:15:00+02:00 Bucharest,483ppb
2025-01-02T02:16:45+02:00 Bucharest,482ppb
2025-01-02T02:26:45+02:00 Bucharest,489ppb
2025-01-02T02:30:00+02:00 Bucharest,489ppb
2025-01-02T02:31:45+02:00 Bucharest,490ppb
2025-01-02T02:41:45+02:00 Bucharest,489ppb
2025-01-02T02:45:00+02:00 Bucharest,489ppb
2025-01-02T02:46:45+02:00 Bucharest,486ppb
2025-01-02T02:56:45+02:00 Bucharest,480ppb
2025-01-02T03:00:00+02:00 Bucharest,480ppb
2025-01-02T03:01:45+02:00 Bucharest,478ppb
2025-01-02T03:11:45+02:00 Bucharest,477ppb
2025-01-02T03:15:00+02:00 Bucharest,477ppb
2025-01-02T03:26:45+02:00 Bucharest,474ppb
2025-01-02T03:30:00+02:00 Bucharest,474ppb
2025-01-02T03:36:45+02:00 Bucharest,470ppb
2025-01-02T03:41:45+02:00 Bucharest,468ppb
2025-01-02T03:45:00+02:00 Bucharest,468ppb
2025-01-02T04:00:00+02:00 Bucharest,468ppb
2025-01-02T04:06:45+02:00 Bucharest,453ppb
2025-01-02T04:15:00+02:00 Bucharest,453ppb
2025-01-02T04:16:45+02:00 Bucharest,446ppb
2025-01-02T04:21:45+02:00 Bucharest,443ppb
2025-01-02T04:30:00+02:00 Bucharest,443ppb
2025-01-02T04:31:45+02:00 Bucharest,434ppb
2025-01-02T04:41:45+02:00 Bucharest,433ppb
2025-01-02T04:45:00+02:00 Bucharest,433ppb
2025-01-02T04:46:45+02:00 Bucharest,434ppb
2025-01-02T05:00:00+02:00 Bucharest,434ppb
2025-01-02T05:01:45+02:00 Bucharest,428ppb
2025-01-02T05:11:45+02:00 Bucharest,404ppb
2025-01-02T05:15:00+02:00 Bucharest,404ppb
2025-01-02T05:21:45+02:00 Bucharest,364ppb
2025-01-02T05:30:00+02:00 Bucharest,364ppb
2025-01-02T05:41:45+02:00 Bucharest,263ppb
2025-01-02T05:45:00+02:00 Bucharest,263ppb
2025-01-02T05:46:45+02:00 Bucharest,217ppb
2025-01-02T06:00:00+02:00 Bucharest,217ppb
2025-01-02T06:01:45+02:00 Bucharest,100ppb
2025-01-02T06:15:00+02:00 Bucharest,100ppb
2025-01-02T06:30:00+02:00 Bucharest,100ppb
2025-01-02T06:45:00+02:00 Bucharest,100ppb
2025-01-02T07:00:00+02:00 Bucharest,100ppb
2025-01-02T07:15:00+02:00 Bucharest,100ppb
2025-01-02T07:30:00+02:00 Bucharest,100ppb
2025-01-02T07:45:00+02:00 Bucharest,100ppb
2025-01-02T08:00:00+02:00 Bucharest,100ppb
2025-01-02T08:11:45+02:00 Bucharest,193ppb
2025-01-02T08:15:00+02:00 Bucharest,193ppb
2025-01-02T08:21:45+02:00 Bucharest,210ppb
2025-01-02T08:30:00+02:00 Bucharest,210ppb
2025-01-02T08:36:45+02:00 Bucharest,241ppb
2025-01-02T08:41:45+02:00 Bucharest,256ppb
